miRNA,SRR18349812,SRR18349813,SRR18349814,SRR18349815,SRR18349816,SRR18349817,SRR18349818,SRR18349819,SRR18349820,SRR18349821,SRR18349822,SRR18349823,SRR18349824,SRR18349825,SRR18349826
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-let-7a-3p,59.0,9.0,40.0,7.0,0.0,5.0,10.0,18.0,12.0,77.0,67.0,56.0,16.0,80.0,72.0
hsa-let-7a-5p,2618.0,3338.0,6234.0,2769.0,903.0,1358.0,2646.0,2299.0,2836.0,11349.0,20128.0,8799.0,1380.0,5628.0,9717.0
hsa-let-7b-3p,16.0,13.0,17.0,11.0,1.0,10.0,20.0,3.0,19.0,46.0,39.0,49.0,15.0,49.0,39.0
hsa-let-7b-5p,13620.0,3373.0,10528.0,7594.0,22406.0,17162.0,26968.0,22531.0,16345.0,59942.0,39452.0,30806.0,16084.0,26537.0,55514.0
hsa-let-7c-3p,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-let-7c-5p,158.0,70.0,119.0,71.0,95.0,123.0,178.0,98.0,212.0,250.0,357.0,270.0,81.0,476.0,1101.0
hsa-let-7d-3p,196.0,480.0,844.0,241.0,279.0,293.0,636.0,177.0,814.0,1269.0,1715.0,1552.0,495.0,1044.0,1218.0
hsa-let-7d-5p,604.0,816.0,1676.0,1024.0,515.0,709.0,1679.0,379.0,1504.0,3946.0,4616.0,2506.0,652.0,1808.0,2767.0
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,6.0,3.0
hsa-let-7e-5p,13.0,66.0,60.0,12.0,6.0,21.0,26.0,1.0,25.0,40.0,120.0,75.0,23.0,29.0,52.0
hsa-let-7f-1-3p,4.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,6.0,2.0,3.0,15.0,0.0
hsa-let-7f-2-3p,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,3.0,5.0,1.0
hsa-let-7f-5p,1133.0,1637.0,3924.0,2695.0,331.0,739.0,1359.0,880.0,908.0,6466.0,15048.0,6116.0,855.0,5550.0,6666.0
hsa-let-7g-3p,0.0,0.0,2.0,1.0,2.0,3.0,2.0,0.0,0.0,7.0,4.0,0.0,0.0,8.0,2.0
hsa-let-7g-5p,4050.0,4500.0,10425.0,3007.0,1362.0,2366.0,4580.0,3514.0,1760.0,12437.0,15958.0,8102.0,2700.0,16991.0,11596.0
hsa-let-7i-3p,3.0,5.0,21.0,3.0,23.0,8.0,13.0,10.0,7.0,19.0,20.0,12.0,6.0,23.0,18.0
hsa-let-7i-5p,14257.0,16384.0,43706.0,23628.0,19691.0,24970.0,37452.0,12661.0,7192.0,65794.0,56274.0,28988.0,16120.0,61000.0,51423.0
hsa-miR-1-3p,9.0,11.0,140.0,22.0,58.0,5.0,59.0,7.0,7.0,20.0,113.0,52.0,10.0,39.0,136.0
hsa-miR-100-5p,182.0,437.0,627.0,274.0,734.0,1164.0,1422.0,302.0,565.0,1087.0,1177.0,1212.0,461.0,1340.0,701.0
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-101-3p,541.0,277.0,4903.0,1318.0,1831.0,2505.0,3325.0,421.0,869.0,8301.0,6311.0,4989.0,3396.0,8272.0,7669.0
hsa-miR-101-5p,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,4.0,2.0,0.0,4.0,3.0
hsa-miR-10392-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0
hsa-miR-10395-3p,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
hsa-miR-10396b-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-10398-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,6.0,18.0,31.0,12.0,9.0,22.0,21.0,0.0,13.0,55.0,35.0,26.0,12.0,29.0,26.0
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,960.0,3903.0,4133.0,2603.0,193.0,591.0,5087.0,60.0,928.0,3432.0,4349.0,30.0,243.0,2386.0,2534.0
hsa-miR-10401-3p,2.0,0.0,2.0,0.0,19.0,14.0,14.0,5.0,3.0,5.0,5.0,12.0,7.0,0.0,5.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,1.0,1.0,1.0,1.0,0.0
hsa-miR-106a-3p,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,10.0,2.0
hsa-miR-106a-5p,42.0,43.0,211.0,56.0,81.0,76.0,106.0,56.0,85.0,185.0,110.0,53.0,32.0,131.0,140.0
hsa-miR-106b-3p,1433.0,1612.0,3773.0,864.0,2453.0,2943.0,4148.0,1932.0,1811.0,5394.0,2916.0,1965.0,1908.0,3154.0,3624.0
hsa-miR-106b-5p,32.0,27.0,208.0,79.0,252.0,202.0,365.0,22.0,34.0,327.0,376.0,185.0,184.0,328.0,280.0
hsa-miR-107,2.0,19.0,16.0,36.0,5.0,4.0,359.0,4.0,6.0,14.0,912.0,272.0,236.0,20.0,8.0
hsa-miR-10a-3p,4.0,8.0,7.0,8.0,1.0,2.0,9.0,2.0,9.0,4.0,9.0,11.0,0.0,11.0,4.0
hsa-miR-10a-5p,375.0,734.0,687.0,633.0,334.0,695.0,857.0,343.0,1210.0,2300.0,2958.0,2700.0,837.0,2040.0,1877.0
hsa-miR-10b-3p,2.0,20.0,31.0,16.0,34.0,21.0,26.0,3.0,20.0,26.0,29.0,30.0,2.0,22.0,19.0
hsa-miR-10b-5p,460.0,1151.0,1468.0,1471.0,676.0,1380.0,1753.0,478.0,1983.0,5851.0,7229.0,9145.0,2020.0,5845.0,4547.0
