miRNA,SRR18439762
hsa-miR-21-5p,9633373
hsa-miR-100-5p,466377
hsa-miR-151a-3p,457025
hsa-miR-30a-5p,417276
hsa-let-7f-5p,218530
hsa-let-7i-5p,127565
hsa-miR-27b-3p,116394
hsa-miR-148a-3p,73910
hsa-let-7a-5p,67951
hsa-miR-582-3p,63373
hsa-miR-378a-3p,57810
hsa-miR-26a-5p,46780
hsa-miR-30d-5p,54300
hsa-miR-25-3p,41298
hsa-let-7g-5p,39073
hsa-miR-92a-3p,51192
hsa-miR-9-5p,51528
hsa-miR-27a-3p,38517
hsa-miR-182-5p,42087
hsa-miR-425-5p,30444
hsa-miR-146a-5p,26114
hsa-let-7b-5p,25618
hsa-miR-24-3p,29952
hsa-miR-532-5p,20112
hsa-miR-30a-3p,24716
hsa-miR-101-3p,42354
hsa-miR-28-3p,19593
hsa-miR-23a-3p,28527
hsa-miR-146b-5p,22266
hsa-miR-99b-5p,17039
hsa-miR-148b-3p,13296
hsa-miR-30b-5p,11075
hsa-miR-21-3p,18429
hsa-miR-92b-3p,12699
hsa-miR-27a-5p,13158
hsa-miR-96-5p,7799
hsa-miR-26b-5p,8233
hsa-miR-7-5p,15522
hsa-miR-183-5p,16115
hsa-let-7e-5p,13614
hsa-miR-941,8132
hsa-miR-222-3p,11328
hsa-miR-455-5p,9225
hsa-miR-20a-5p,6723
hsa-miR-221-5p,13531
hsa-miR-30e-3p,8885
hsa-miR-128-3p,13041
hsa-miR-22-3p,8281
hsa-miR-140-3p,23659
hsa-miR-192-5p,9605
hsa-miR-423-5p,9030
hsa-miR-30e-5p,5699
hsa-miR-548o-3p,4714
hsa-miR-769-5p,7133
hsa-miR-181a-2-3p,5956
hsa-miR-30c-5p,7716
hsa-miR-589-5p,4477
hsa-miR-191-5p,6951
hsa-miR-29a-3p,10087
hsa-miR-374b-5p,6248
hsa-miR-381-3p,3718
hsa-miR-320a-3p,7099
hsa-miR-30c-2-3p,5073
hsa-miR-221-3p,7834
hsa-miR-106b-3p,8194
hsa-miR-93-5p,5122
