miRNA,SRR18568637,SRR18568638,SRR18568639,SRR18568640,SRR18568641,SRR18568642,SRR18568643,SRR18568644,SRR18568645,SRR18568646,SRR18568647,SRR18568648,SRR18568649,SRR18568650,SRR18568651,SRR18568652,SRR18568653,SRR18568654,SRR18568655,SRR18568656,SRR18568657,SRR18568658,SRR18568659,SRR18568660,SRR18568661,SRR18568662,SRR18568663,SRR18568668,SRR18568669,GSM6001197,GSM6001193,GSM6001192,GSM6001191,GSM6001190,GSM6001189,GSM6001188,GSM6001187,GSM6001186,GSM6001185,GSM6001184,GSM6001183,GSM6001182,GSM6001181,GSM6001180,GSM6001179,GSM6001178
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0
hsa-let-7a-5p,112.83,88.97,114.73,257.36,64.93,57.93,45.6,6.05,20.99,17.05,6.86,75.52,147.66,30.79,20.76,27.91,63.71,25.97,22.83,22.99,29.3,69.81,12.87,40.54,47.24,37.83,41.0,18.15,42.19,61.61,220.67,181.61,198.66,308.14,322.54,305.77,237.91,132.53,447.99,341.0,547.64,545.75,325.27,486.78,203.5,389.51
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,3431.67,2987.22,2995.99,10533.71,6776.31,1962.32,1990.07,1604.57,328.83,2198.25,2283.86,1101.7,2839.36,2690.79,1372.55,2498.85,1699.38,1530.86,285.86,887.49,2755.73,1734.31,672.28,2342.46,2029.6,2462.77,1166.48,923.59,908.74,1797.47,11124.78,10147.61,6127.29,10720.73,8788.73,5106.78,11773.64,2538.41,13814.54,13540.14,18268.28,21070.87,15187.42,17639.08,10075.44,19817.84
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,8.68,0.84,0.86,6.33,32.1,0.0,0.0,21.6,0.0,40.15,16.3,3.55,5.63,15.4,0.0,0.0,0.0,1.53,0.0,0.92,19.11,2.74,0.0,0.0,0.0,0.0,1.03,3.4,1.08,6.7,0.82,7.17,23.08,7.45,3.58,5.46,3.63,0.0,1.92,92.64,9.97,3.73,107.88,7.33,0.0,2.17
hsa-let-7d-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,2.71,4.78,0.0,0.0,0.0,2.4,0.0,1.87,0.0,0.54,0.0,0.0,0.0
hsa-let-7d-5p,0.0,0.84,0.0,0.0,3.65,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58,0.0,0.92,1.27,2.74,0.0,2.53,0.0,0.6,0.0,0.0,2.16,2.68,0.82,7.17,5.02,14.22,4.78,16.38,7.98,4.53,49.03,37.45,33.02,46.0,59.88,42.75,40.52,40.54
hsa-let-7e-5p,1.08,0.0,0.0,0.0,8.75,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.82,3.19,3.01,2.71,5.97,0.78,1.45,1.13,0.96,3.45,2.49,4.35,2.16,9.16,4.6,3.62
hsa-let-7f-5p,21.7,19.3,25.88,69.61,86.08,7.95,23.53,22.47,1.55,19.8,4.29,11.55,62.58,18.2,15.78,12.79,11.49,7.64,10.05,13.8,34.4,13.69,11.44,24.07,7.56,15.61,17.43,14.75,9.74,28.8,89.75,156.12,140.47,157.12,290.29,324.49,134.19,3.4,551.81,441.53,580.03,643.95,455.27,509.99,200.74,372.86
