miRNA,SRR18672397,SRR18672408,SRR18672419,SRR18672431,SRR18672432,SRR18672433,SRR18672434,SRR18672435,SRR18672436,SRR18672437,SRR18672438,SRR18672439,SRR18672440,SRR18672441,SRR18672442,SRR18672443,SRR18672444,SRR18672445,SRR18672446,SRR18672447,SRR18672448,SRR18672449,SRR18672450,SRR18672451,SRR18672452,SRR18672453,SRR18672454,SRR18672455,SRR18672456,SRR18672457,SRR18672458,SRR18672459,SRR18672460,SRR18672461,SRR18672462,SRR18672463,SRR18672464,SRR18672465,SRR18672466,SRR18672467,SRR18672468,SRR18672478,SRR18672489,SRR18672499,SRR18672500
hsa-let-7a-3p,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,0.0,2.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
hsa-let-7a-5p,67.0,77.0,852.0,14.0,1.0,22.0,17.0,13.0,13.0,57.0,13.0,22.0,0.0,3.0,7.0,0.0,37.0,278.0,332.0,884.0,24.0,652.0,494.0,2346.0,1293.0,61.0,23.0,71.0,99.0,10.0,72.0,3.0,50.0,446.0,44.0,59.0,82.0,15.0,12.0,51.0,56.0,35.0,265.0,971.0,4.0
hsa-let-7b-3p,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,137.0,95.0,315.0,9.0,1.0,7.0,28.0,44.0,46.0,47.0,25.0,33.0,1.0,7.0,20.0,0.0,6.0,107.0,131.0,513.0,95.0,629.0,451.0,2152.0,1028.0,84.0,31.0,56.0,143.0,6.0,29.0,1.0,58.0,208.0,177.0,110.0,264.0,14.0,30.0,257.0,34.0,14.0,91.0,880.0,0.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-let-7c-5p,39.0,61.0,346.0,0.0,1.0,8.0,10.0,6.0,7.0,33.0,12.0,22.0,1.0,4.0,13.0,0.0,15.0,68.0,128.0,576.0,67.0,594.0,403.0,860.0,1049.0,80.0,49.0,77.0,112.0,10.0,24.0,2.0,18.0,235.0,87.0,80.0,113.0,7.0,23.0,160.0,50.0,18.0,157.0,1270.0,2.0
hsa-let-7d-3p,53.0,19.0,80.0,5.0,0.0,2.0,8.0,22.0,6.0,4.0,4.0,4.0,1.0,3.0,3.0,0.0,3.0,66.0,64.0,91.0,2.0,87.0,81.0,679.0,86.0,17.0,1.0,11.0,19.0,2.0,4.0,0.0,24.0,57.0,12.0,15.0,41.0,0.0,3.0,9.0,7.0,1.0,26.0,21.0,0.0
hsa-let-7d-5p,5.0,11.0,98.0,2.0,2.0,2.0,4.0,2.0,3.0,9.0,2.0,0.0,0.0,1.0,1.0,0.0,8.0,31.0,66.0,128.0,1.0,92.0,52.0,336.0,235.0,3.0,4.0,19.0,12.0,2.0,11.0,0.0,4.0,70.0,7.0,12.0,19.0,3.0,2.0,6.0,5.0,5.0,28.0,142.0,1.0
hsa-let-7e-3p,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,4.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-let-7e-5p,38.0,29.0,233.0,4.0,0.0,0.0,9.0,5.0,6.0,21.0,4.0,4.0,0.0,2.0,1.0,0.0,5.0,46.0,67.0,296.0,5.0,217.0,157.0,725.0,332.0,26.0,9.0,16.0,44.0,0.0,16.0,1.0,22.0,121.0,29.0,13.0,48.0,3.0,3.0,40.0,13.0,3.0,90.0,178.0,0.0
