miRNA,GSM6111769,GSM6111767,GSM6111765,GSM6111763,GSM6111762,GSM6111758,GSM6111757,GSM6111754,GSM6111753,GSM6111752,GSM6111750,GSM6111749,GSM6111748,GSM6111747,GSM6111745,GSM6111744,GSM6111743
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.0,0.0
hsa-let-7a-5p,8.22,13.29,0.0,29.99,44.16,6.44,7.72,52.77,23.25,11.97,16.15,18.42,33.65,24.25,0.0,79.66,0.0
hsa-let-7b-5p,497.4,930.1,1876.89,257.9,1726.54,1024.19,1006.0,1611.67,3749.72,997.04,1136.66,789.93,192.3,3437.87,2735.85,3865.5,1187.7
hsa-let-7c-5p,0.0,15.5,0.0,0.0,0.0,8.59,12.86,21.79,5.81,0.0,0.0,0.0,0.0,32.33,70.55,0.0,17.04
hsa-let-7d-5p,0.0,0.0,0.0,0.0,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,0.0,4.43,0.0,0.0,0.0,0.0,0.0,18.35,0.0,0.0,6.46,0.0,0.0,0.0,0.0,1.23,0.0
hsa-let-7f-5p,0.0,48.72,14.61,0.0,0.0,6.44,0.0,0.0,31.97,3.59,38.75,11.51,0.0,18.86,18.29,41.67,0.0
hsa-let-7g-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69,0.0,0.0,0.0
hsa-let-7i-5p,8.22,109.62,51.12,3.0,13.25,27.91,46.31,118.15,171.5,31.12,22.6,0.0,0.0,75.44,109.75,75.99,0.0
hsa-miR-1-3p,4.11,0.0,7.3,0.0,13.25,0.0,0.0,21.79,0.0,0.0,0.0,11.51,21.63,0.0,0.0,22.06,0.0
hsa-miR-100-5p,10.28,21.04,7.3,0.0,4.42,2.15,0.0,0.0,0.0,5.98,3.23,13.82,0.0,18.86,0.0,14.71,0.0
hsa-miR-101-3p,49.33,37.65,80.33,50.98,48.57,57.97,28.3,41.3,17.44,15.56,54.9,23.03,14.42,37.72,57.49,93.14,36.51
hsa-miR-103a-3p,150.04,786.15,1029.73,263.9,181.04,586.17,324.18,300.54,427.29,231.01,387.5,71.39,91.34,358.34,350.15,416.7,148.46
hsa-miR-107,8.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10a-5p,0.0,1.11,0.0,0.0,0.0,4.29,0.0,0.0,0.0,0.0,0.0,0.0,4.81,0.0,0.0,0.0,0.0
hsa-miR-10b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.92,0.0,0.0,2.69,0.0,0.0,0.0
hsa-miR-122-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.0,0.0,0.0,2.61,0.0,9.74
hsa-miR-1251-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43
hsa-miR-125a-5p,24.66,58.68,58.42,0.0,39.74,15.03,0.0,17.21,23.25,22.74,19.37,13.82,0.0,18.86,31.36,144.62,0.0
hsa-miR-125b-5p,20.55,111.83,255.61,6.0,30.91,36.5,48.88,12.62,43.6,55.06,61.35,6.91,9.61,35.03,36.58,106.63,14.6
hsa-miR-1269a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-127-3p,49.33,74.19,262.91,29.99,26.49,30.06,43.74,0.0,55.23,16.76,67.81,9.21,0.0,45.8,44.42,79.66,12.17
hsa-miR-1285-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.78,0.0,15.93,0.0
hsa-miR-1307-3p,51.38,397.51,460.09,32.99,26.49,130.98,54.03,26.38,81.39,118.5,261.56,4.61,14.42,99.69,394.57,50.25,4.87
hsa-miR-134-5p,0.0,0.0,0.0,0.0,0.0,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-136-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69,0.0,0.0,0.0
hsa-miR-137-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
