miRNA,SRR19278993,SRR19278994,SRR19278995,SRR19278996,SRR19278997,SRR19278998,SRR19278999,SRR19279000,SRR19279001,SRR19279002,SRR19279003,SRR19279004,SRR19279005,SRR19279006,SRR19279007,SRR19279008,SRR19279009,SRR19279010,SRR19279011,SRR19279012,SRR19279013,SRR19279014,SRR19279015,SRR19279016,SRR19279017,SRR19279018,SRR19279019,SRR19279020,SRR19279021,SRR19279022,SRR19279023,SRR19279024,SRR19279025,SRR19279026,SRR19279027
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,1892.0,2489.0,366.0,1947.0,1582.0,2571.0,84.0,226.0,71.0,461.0,51.0,1810.0,939.0,965.0,1129.0,461.0,1354.0,886.0,1400.0,1452.0,1207.0,1325.0,2848.0,730.0,919.0,1139.0,1052.0,630.0,1237.0,1022.0,1055.0,1225.0,1415.0,3650.0,3831.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,50391.0,66382.0,22315.0,43723.0,56191.0,70523.0,7982.0,12863.0,10378.0,13939.0,5572.0,61767.0,48765.0,31755.0,17746.0,16507.0,27637.0,14687.0,13237.0,30138.0,38585.0,46554.0,82973.0,31647.0,35961.0,56987.0,40831.0,33274.0,16363.0,19886.0,18188.0,47764.0,66959.0,118530.0,56737.0
hsa-let-7c-5p,2.0,48.0,49.0,875.0,986.0,25.0,0.0,2.0,28.0,0.0,68.0,1334.0,47.0,3.0,12.0,269.0,6.0,0.0,9.0,12.0,55.0,13.0,5.0,718.0,612.0,10.0,28.0,545.0,13.0,13.0,28.0,10.0,6.0,28.0,49.0
hsa-let-7d-3p,0.0,16.0,0.0,54.0,18.0,31.0,0.0,19.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,4.0,8.0,0.0,12.0,0.0,33.0,0.0,0.0,0.0,9.0,0.0,0.0,22.0,13.0,0.0,36.0,10.0,23.0,28.0,14.0
hsa-let-7d-5p,32.0,150.0,20.0,92.0,142.0,177.0,4.0,0.0,1.0,0.0,0.0,91.0,14.0,17.0,31.0,40.0,61.0,22.0,89.0,40.0,78.0,39.0,184.0,47.0,50.0,36.0,58.0,45.0,28.0,37.0,63.0,22.0,38.0,180.0,225.0
hsa-let-7e-5p,38.0,14.0,1.0,40.0,27.0,40.0,0.0,1.0,2.0,0.0,2.0,62.0,55.0,43.0,63.0,34.0,107.0,80.0,56.0,15.0,28.0,19.0,165.0,27.0,66.0,24.0,17.0,58.0,50.0,24.0,52.0,11.0,8.0,56.0,35.0
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
