miRNA,SRR20232393,SRR20232394,SRR20232395,SRR20232396,SRR20232397,SRR20232398,SRR20232399,SRR20232400,SRR20232401,SRR20232402,SRR20232403,SRR20232404,SRR20232405,SRR20232406,SRR20232407,SRR20232408,SRR20232409,SRR20232410,SRR20232411,SRR20232412,SRR20232413,SRR20232414,SRR20232415,SRR20232416,SRR20232417,SRR20232418,SRR20232419,SRR20232420,SRR20232421,SRR20232422,SRR20232423,SRR20232424,SRR20232425,SRR20232426,SRR20232427,SRR20232428,SRR20232429,SRR20232430,SRR20232431,SRR20232432
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0
hsa-let-7a-5p,170.03,116.41,111.66,198.77,135.12,188.85,32.73,453.45,465.16,76.4,97.84,68.43,121.59,14.89,36.23,25.28,99.0,77.95,8.69,75.7,7.73,41.34,306.11,37.39,149.12,72.05,314.92,126.68,28.16,6.71,269.59,80.28,117.37,29.57,21.51,80.43,109.58,116.04,94.73,55.25
hsa-let-7b-5p,7168.03,6131.37,4483.91,9470.16,18145.68,6841.69,5140.17,21890.49,20353.74,11078.59,2958.08,3184.1,2539.08,1272.81,1739.09,2059.96,5592.14,1735.33,2531.37,4480.7,1167.06,3003.91,9016.12,1942.74,10728.26,4911.52,9855.5,4136.8,1353.25,4795.54,3463.78,11057.16,6962.38,1385.17,977.69,3817.19,7116.13,12831.0,3259.57,5341.89
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,1.53,0.0,0.0,7.63,238.17,0.0,49.09,3.29,25.31,91.1,2.28,93.86,3.3,0.0,1.47,1.2,0.92,1.77,17.38,2.9,29.64,32.4,2.42,2.27,5.77,4.71,1.71,9.68,1.04,70.2,0.9,135.25,1.99,2.32,0.75,4.63,1.8,4.14,0.0,98.81
hsa-let-7d-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.57,0.0,0.47,11.98,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0
hsa-let-7d-5p,1.53,0.0,7.19,3.05,1.15,1.13,0.0,0.0,25.31,0.0,1.71,0.61,0.55,0.0,0.98,0.6,0.92,0.0,0.58,3.26,0.0,0.0,15.98,1.7,5.77,2.35,2.57,3.37,3.82,1.03,3.0,7.33,6.37,0.58,3.4,1.16,0.6,0.83,0.0,1.06
hsa-let-7e-5p,12.25,9.42,0.0,1.02,33.21,7.92,0.0,1.64,22.9,0.0,1.71,0.0,2.75,0.0,0.0,0.6,0.92,0.89,0.0,0.36,3.87,0.0,2.42,1.13,7.7,1.88,11.55,1.68,0.7,1.03,6.6,12.66,0.8,0.58,0.38,0.58,0.0,2.49,2.77,1.06
hsa-let-7f-5p,170.79,91.46,79.6,192.67,383.59,33.93,84.15,188.94,209.68,255.66,60.87,69.64,18.71,9.16,16.16,18.06,81.5,58.02,27.8,26.44,23.2,49.72,161.77,20.4,116.41,37.2,139.06,80.39,53.2,30.97,193.63,135.25,77.98,5.22,11.32,45.71,47.31,53.04,46.33,157.24
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.63,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,14.55,4.43,2.76,5.59,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,18.16,4.96,5.88,9.63,9.67,1.33,1.74,0.72,0.0,0.56,9.69,3.4,16.84,2.35,14.98,18.94,3.82,0.52,23.12,10.99,19.89,0.58,0.38,1.74,4.19,5.8,2.77,1.06
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
