miRNA,SRR20232393,SRR20232394,SRR20232395,SRR20232396,SRR20232397,SRR20232398,SRR20232399,SRR20232400,SRR20232401,SRR20232402,SRR20232403,SRR20232404,SRR20232405,SRR20232406,SRR20232407,SRR20232408,SRR20232409,SRR20232410,SRR20232411,SRR20232412,SRR20232413,SRR20232414,SRR20232415,SRR20232416,SRR20232417,SRR20232418,SRR20232419,SRR20232420,SRR20232421,SRR20232422,SRR20232423,SRR20232424,SRR20232425,SRR20232426,SRR20232427,SRR20232428,SRR20232429,SRR20232430,SRR20232431,SRR20232432
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,222.0,210.0,202.0,391.0,118.0,167.0,28.0,276.0,386.0,52.0,172.0,113.0,221.0,39.0,74.0,42.0,215.0,176.0,15.0,209.0,12.0,74.0,632.0,66.0,310.0,153.0,736.0,301.0,81.0,13.0,898.0,241.0,295.0,51.0,57.0,139.0,183.0,140.0,137.0,52.0
hsa-let-7b-5p,9359.0,11061.0,8112.0,18629.0,15847.0,6050.0,4398.0,13324.0,16890.0,7540.0,5200.0,5258.0,4615.0,3334.0,3552.0,3422.0,12145.0,3918.0,4370.0,12370.0,1811.0,5377.0,18615.0,3429.0,22303.0,10430.0,23033.0,9829.0,3892.0,9290.0,11538.0,33192.0,17500.0,2389.0,2591.0,6597.0,11884.0,15481.0,4714.0,5028.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,2.0,0.0,0.0,15.0,208.0,0.0,42.0,2.0,21.0,62.0,4.0,155.0,6.0,0.0,3.0,2.0,2.0,4.0,30.0,8.0,46.0,58.0,5.0,4.0,12.0,10.0,4.0,23.0,3.0,136.0,3.0,406.0,5.0,4.0,2.0,8.0,3.0,5.0,0.0,93.0
hsa-let-7d-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,28.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
hsa-let-7d-5p,2.0,0.0,13.0,6.0,1.0,1.0,0.0,0.0,21.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,9.0,0.0,0.0,33.0,3.0,12.0,5.0,6.0,8.0,11.0,2.0,10.0,22.0,16.0,1.0,9.0,2.0,1.0,1.0,0.0,1.0
hsa-let-7e-5p,16.0,17.0,0.0,2.0,29.0,7.0,0.0,1.0,19.0,0.0,3.0,0.0,5.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,6.0,0.0,5.0,2.0,16.0,4.0,27.0,4.0,2.0,2.0,22.0,38.0,2.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0
hsa-let-7f-5p,223.0,165.0,144.0,379.0,335.0,30.0,72.0,115.0,174.0,174.0,107.0,115.0,34.0,24.0,33.0,30.0,177.0,131.0,48.0,73.0,36.0,89.0,334.0,36.0,242.0,79.0,325.0,191.0,153.0,60.0,645.0,406.0,196.0,9.0,30.0,79.0,79.0,64.0,67.0,148.0
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
