miRNA,SRR21314445,SRR21314444,SRR21314443,SRR21314442,SRR21314441,SRR21314440,SRR21314439,SRR21314438,SRR21314437
hsa-let-7a-5p,0.65,1.45,0.0,1.35,1.4,0.49,0.89,1.54,0.34
hsa-let-7b-5p,11.07,14.18,10.83,17.22,11.44,19.49,19.05,18.77,23.22
hsa-let-7c-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
hsa-let-7e-5p,0.0,0.0,0.28,0.0,0.0,0.24,0.0,0.26,0.0
hsa-let-7f-5p,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.34
hsa-let-7i-5p,0.33,0.0,0.0,0.34,0.84,1.46,1.79,1.54,1.71
hsa-miR-100-5p,1.95,0.0,0.0,1.01,1.12,0.24,0.89,1.8,0.68
hsa-miR-101-3p,0.33,0.36,0.83,0.0,0.28,0.97,1.49,1.03,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0
hsa-miR-10395-3p,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.26,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
hsa-miR-10396a-3p,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,52.76,65.82,67.73,97.26,82.33,93.53,169.36,138.05,98.66
hsa-miR-10401-5p,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-5p,0.33,0.73,0.0,0.34,0.28,0.24,0.3,1.8,0.68
hsa-miR-10526-3p,0.33,0.0,0.0,0.34,0.0,0.0,0.0,0.77,1.37
hsa-miR-107,0.0,1.82,1.39,1.01,1.4,1.22,4.17,2.31,0.34
hsa-miR-10a-5p,0.0,0.73,1.67,1.35,0.84,1.95,2.08,2.31,1.37
hsa-miR-10b-5p,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,3.58,3.64,0.83,2.03,1.4,1.22,5.36,5.14,3.07
hsa-miR-1248,0.0,0.0,0.0,0.34,0.0,0.24,0.0,0.0,0.0
hsa-miR-125a-5p,1.63,0.36,0.56,0.68,0.28,1.46,0.6,0.77,0.0
hsa-miR-125b-5p,0.98,0.73,0.56,1.35,1.12,1.46,2.08,1.8,2.39
hsa-miR-1269b,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.77,0.0
hsa-miR-1273h-5p,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.26,0.0
hsa-miR-1285-5p,0.33,0.73,0.28,0.0,0.28,0.0,0.6,0.26,1.71
hsa-miR-1291,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.68
hsa-miR-1295a,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0
hsa-miR-1296-5p,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1303,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1307-3p,8.14,8.36,11.38,4.73,5.58,7.31,12.8,9.51,6.83
hsa-miR-133a-3p,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0
hsa-miR-138-5p,0.0,0.0,0.28,0.0,0.28,0.0,0.3,0.0,0.0
hsa-miR-139-3p,0.0,0.36,0.28,0.34,1.12,0.24,0.6,1.03,0.34
hsa-miR-140-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
hsa-miR-141-3p,0.0,0.36,0.28,0.0,0.0,0.0,0.0,0.0,0.68
hsa-miR-141-5p,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.51,0.0
hsa-miR-142-3p,1.95,5.09,5.83,9.46,8.93,10.23,17.86,26.99,20.83
hsa-miR-142-5p,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.51,0.34
hsa-miR-151a-3p,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-151a-5p,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-152-3p,0.0,1.09,0.0,0.68,0.28,0.0,0.89,0.0,0.0
hsa-miR-15a-5p,0.0,0.0,0.0,0.0,0.84,0.0,0.6,0.77,0.34
hsa-miR-15b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
hsa-miR-15b-5p,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0
hsa-miR-16-5p,2.93,6.18,1.94,2.7,4.19,3.41,9.82,5.14,8.53
hsa-miR-181a-5p,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181b-5p,2.28,2.18,1.11,2.36,1.4,1.95,2.38,2.57,1.71
hsa-miR-181d-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.26,0.68
hsa-miR-182-5p,0.0,0.73,0.83,1.69,1.12,2.68,1.49,2.06,1.37
hsa-miR-183-3p,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0
hsa-miR-183-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
hsa-miR-1843,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0
hsa-miR-185-3p,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-18a-3p,0.65,0.73,0.0,0.68,0.0,0.97,2.08,0.51,0.68
hsa-miR-1908-5p,0.33,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0
hsa-miR-191-5p,0.33,0.36,0.56,0.0,0.0,0.0,0.0,1.03,0.34
hsa-miR-194-5p,0.0,0.0,0.0,0.68,0.0,0.0,0.3,0.51,0.0
hsa-miR-195-5p,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0
hsa-miR-196a-5p,0.33,2.18,1.94,1.01,0.28,3.17,2.98,3.08,3.41
hsa-miR-197-5p,0.33,0.0,0.0,0.0,0.28,0.0,0.3,0.0,0.0
hsa-miR-199a-5p,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-19b-3p,0.0,0.0,0.56,0.0,0.28,0.0,0.0,0.26,0.0
hsa-miR-200b-5p,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
hsa-miR-200c-3p,8.14,11.27,6.38,6.42,4.47,9.99,9.52,7.71,7.51
hsa-miR-204-3p,0.33,0.73,0.0,0.0,0.0,0.24,0.0,0.0,0.68
hsa-miR-21-5p,1.95,0.0,0.83,0.68,0.56,0.97,0.6,0.77,0.34
hsa-miR-218-5p,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.34
hsa-miR-22-3p,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-221-3p,0.65,1.09,0.56,0.68,1.12,1.46,2.08,1.8,1.71
hsa-miR-222-3p,0.65,1.82,1.11,1.01,0.84,2.44,1.19,3.6,0.68
hsa-miR-2278,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0
hsa-miR-23a-3p,32.57,34.91,30.81,63.83,46.88,55.78,78.58,70.95,48.14
hsa-miR-24-3p,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0
hsa-miR-25-3p,0.0,0.36,0.28,0.0,0.0,0.0,0.3,0.26,0.34
hsa-miR-26a-5p,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-28-3p,0.33,1.09,2.22,3.71,2.23,2.68,3.57,2.31,2.39
hsa-miR-29a-3p,0.65,0.0,0.0,1.01,0.28,1.46,0.6,1.03,0.0
hsa-miR-29b-1-5p,0.0,0.36,0.0,0.0,0.0,0.24,0.0,0.0,0.0
hsa-miR-301a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0
hsa-miR-3064-5p,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.26,0.34
hsa-miR-3065-5p,0.33,0.0,0.0,0.68,0.0,0.0,0.3,0.0,0.0
hsa-miR-30a-5p,0.98,1.09,0.28,2.03,2.23,0.97,2.98,0.77,2.05
hsa-miR-30b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
