miRNA,SRR21493613,SRR21493614,SRR21493615,SRR21493616,SRR21493617,SRR21493618,SRR21493619,SRR21493620,SRR21493621,SRR21493622,SRR21493623,SRR21493624,SRR21493625,SRR21493626,SRR21493627,SRR21493628,SRR21493629,SRR21493630,SRR21493631,SRR21493632,SRR21493633,SRR21493634,SRR21493635,SRR21493636,SRR21493637,SRR21493638,SRR21493639,SRR21493640,SRR21493641,SRR21493642,SRR21493643,SRR21493644,SRR21493645,SRR21493646,SRR21493647,SRR21493648,SRR21493649,SRR21493650,SRR21493651,SRR21493652,SRR21493653,SRR21493654,SRR21493655,SRR21493656,SRR21493657,SRR21493658,SRR21493659,SRR21493660,SRR21493661,SRR21493662,SRR21493663,SRR21493664,SRR21493665,SRR21493666,SRR21493667,SRR21493668,SRR21493669,SRR21493670,SRR21493671,SRR21493672
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,3.1,7.35,1.84,1.92,6.49,6.66,0.35,0.0,1.68,2.25,16.61,4.81,0.22,0.67,4.75,0.1,1.95,0.33,1.18,0.2,1.42,11.43,5.46,5.65,1.6,3.67,3.37,15.42,3.43,0.09,0.0,2.59,1.0,4.45,95.44,11.25,1.14,1.68,4.55,2.4,5.21,6.78,2.59,1.54,0.45,12.34,3.97,1.73,2.37,5.05,23.04,1.97,0.75,0.41,2.07,2.95,46.66,11.82,20.55,1.82
hsa-let-7a-5p,2363.75,7457.96,1642.17,2930.7,1096.84,9163.47,1022.59,1176.61,4016.48,3817.55,2534.47,1445.23,3464.22,1790.97,5521.63,5704.73,1548.6,963.37,412.45,1067.09,2434.79,3281.87,2089.02,2651.06,3506.54,2390.21,6410.86,5469.14,3841.87,4175.1,2108.84,1152.2,3121.96,4066.73,27996.75,10340.26,808.12,1305.4,8852.76,12361.2,8616.58,5018.25,2138.21,4830.63,1294.42,3732.82,5363.87,2995.43,5786.05,6958.27,17758.26,1509.05,1200.95,3852.22,3591.68,5181.98,14759.07,7543.76,27645.33,11081.67
hsa-let-7b-3p,0.52,0.0,0.0,0.64,1.8,3.83,0.12,1.6,1.68,1.12,0.11,0.0,0.0,0.0,1.46,0.0,1.17,2.48,0.91,2.08,1.26,29.12,4.85,0.37,0.0,0.08,0.6,1.83,1.14,0.28,0.0,0.0,0.91,2.75,26.97,27.72,0.41,0.1,4.16,2.69,1.8,4.8,0.9,2.27,1.5,28.54,4.17,2.26,1.38,8.58,75.83,1.64,2.54,0.95,2.42,0.72,39.79,6.6,29.29,1.34
hsa-let-7b-5p,783.62,5202.13,3250.3,4225.99,2443.54,7159.43,1908.11,1880.21,2143.21,1209.18,7577.81,3181.21,6073.96,1444.04,4302.59,5467.29,2545.2,2870.09,1371.4,2481.43,3265.73,5521.16,4496.39,4877.61,2835.8,5561.36,3530.48,4989.59,1858.67,4238.76,1640.21,2423.65,3902.59,5241.35,19899.01,8382.63,3148.15,3336.92,3683.06,7244.23,4494.4,6890.9,2140.91,3248.86,2279.8,15922.07,5765.43,3039.49,8069.57,8883.52,13468.6,2367.59,2451.27,2566.03,6130.82,2557.43,36670.42,4864.59,15248.59,3315.8
hsa-let-7c-3p,1.55,0.0,0.0,5.11,0.0,0.0,0.0,0.0,2.79,0.0,0.0,0.0,0.0,0.0,0.0,7.23,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,8.58,1.14,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.13,0.0,0.0,1.25,0.0,0.0,0.0,1.25,0.61,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,1.18,0.19
hsa-let-7c-5p,333.99,944.91,421.35,482.17,144.59,646.32,88.83,326.67,416.91,344.03,1281.28,230.48,1465.69,93.31,591.81,873.02,222.25,74.13,50.39,63.78,154.81,412.25,798.15,1465.86,355.78,682.87,463.37,2298.1,321.01,642.36,2382.21,170.43,107.76,165.27,4320.19,302.25,53.95,62.94,196.49,460.38,576.27,243.28,244.76,388.08,105.76,652.12,1426.99,901.47,309.44,316.84,595.41,103.44,198.59,103.74,189.96,102.16,348.86,115.64,466.74,188.9
hsa-let-7d-3p,35.1,85.35,23.92,23.85,25.24,251.07,48.12,44.73,37.44,14.62,24.0,15.1,59.21,24.0,39.62,60.83,46.42,47.66,26.79,51.21,112.69,466.77,65.87,90.65,20.01,17.19,122.43,74.13,33.13,29.19,195.26,10.04,124.47,103.71,878.65,1204.76,80.62,44.41,165.15,209.94,107.45,185.1,51.76,70.87,49.43,1223.25,184.15,112.0,201.82,196.02,1396.67,64.44,51.81,33.36,81.21,99.03,1874.97,392.02,1231.34,180.55
hsa-let-7d-5p,462.53,705.17,98.44,223.83,78.6,770.19,72.83,79.64,521.97,391.26,161.3,76.51,299.75,315.6,401.17,367.78,123.34,38.06,22.33,60.12,238.31,210.11,120.73,202.43,222.91,312.45,664.9,485.24,379.27,349.76,234.32,74.2,294.88,361.14,2856.87,1168.26,67.7,95.73,1259.46,1295.17,988.2,539.33,228.21,368.27,84.73,327.12,454.06,321.41,409.36,339.97,1824.7,131.43,81.87,363.01,267.48,712.87,1233.93,806.4,3348.77,1205.86
hsa-let-7e-3p,0.0,0.0,1.84,1.49,0.0,1.5,0.12,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,1.16,0.0,0.0,0.98,1.44,0.3,0.0,1.6,0.0,0.36,3.57,1.14,0.0,19.53,0.0,0.0,0.38,0.0,0.2,0.0,0.0,0.39,0.38,0.18,0.83,0.23,0.09,0.0,0.29,1.02,1.86,0.0,0.0,2.18,0.0,0.0,0.0,0.0,0.18,0.84,0.64,0.88,0.48
hsa-let-7e-5p,48.52,232.39,34.04,48.13,23.08,346.3,40.48,28.18,50.3,38.79,162.32,29.54,122.02,23.66,172.19,127.35,39.97,20.68,13.12,27.93,89.6,98.28,40.21,46.18,62.43,84.3,147.96,204.84,62.83,120.73,273.37,16.85,125.84,49.44,225.4,225.5,12.82,17.28,169.06,248.71,269.18,90.83,21.04,107.31,33.5,60.64,217.21,83.87,152.75,174.58,314.99,48.85,13.09,27.8,76.6,100.73,234.75,133.24,324.01,265.3
