miRNA,SRR21493613,SRR21493614,SRR21493615,SRR21493616,SRR21493617,SRR21493618,SRR21493619,SRR21493620,SRR21493621,SRR21493622,SRR21493623,SRR21493624,SRR21493625,SRR21493626,SRR21493627,SRR21493628,SRR21493629,SRR21493630,SRR21493631,SRR21493632,SRR21493633,SRR21493634,SRR21493635,SRR21493636,SRR21493637,SRR21493638,SRR21493639,SRR21493640,SRR21493641,SRR21493642,SRR21493643,SRR21493644,SRR21493645,SRR21493646,SRR21493647,SRR21493648,SRR21493649,SRR21493650,SRR21493651,SRR21493652,SRR21493653,SRR21493654,SRR21493655,SRR21493656,SRR21493657,SRR21493658,SRR21493659,SRR21493660,SRR21493661,SRR21493662,SRR21493663,SRR21493664,SRR21493665,SRR21493666,SRR21493667,SRR21493668,SRR21493669,SRR21493670,SRR21493671,SRR21493672
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,6.0,23.0,2.0,9.0,18.0,40.0,3.0,0.0,3.0,4.0,146.0,72.0,2.0,2.0,26.0,1.0,20.0,2.0,13.0,2.0,26.0,135.0,54.0,46.0,4.0,47.0,28.0,160.0,3.0,1.0,0.0,8.0,11.0,47.0,874.0,114.0,11.0,16.0,35.0,25.0,58.0,65.0,23.0,17.0,3.0,128.0,39.0,13.0,12.0,33.0,148.0,24.0,8.0,3.0,18.0,33.0,442.0,129.0,209.0,19.0
hsa-let-7a-5p,4579.0,23331.0,1785.0,13761.0,3042.0,55039.0,8691.0,11731.0,7187.0,6791.0,22281.0,21627.0,31655.0,5374.0,30239.0,59176.0,15845.0,5822.0,4526.0,10774.0,44618.0,38769.0,20677.0,21583.0,8762.0,30592.0,53252.0,56738.0,3363.0,45062.0,108.0,3556.0,34186.0,42938.0,256373.0,104822.0,7819.0,12464.0,68076.0,128826.0,95905.0,48123.0,19001.0,53163.0,8616.0,38718.0,52722.0,22572.0,29357.0,45438.0,114051.0,18382.0,12748.0,28408.0,31179.0,57979.0,139824.0,82323.0,281227.0,115452.0
hsa-let-7b-3p,1.0,0.0,0.0,3.0,5.0,23.0,1.0,16.0,3.0,2.0,1.0,0.0,0.0,0.0,8.0,0.0,12.0,15.0,10.0,21.0,23.0,344.0,48.0,3.0,0.0,1.0,5.0,19.0,1.0,3.0,0.0,0.0,10.0,29.0,247.0,281.0,4.0,1.0,32.0,28.0,20.0,46.0,8.0,25.0,10.0,296.0,41.0,17.0,7.0,56.0,487.0,20.0,27.0,7.0,21.0,8.0,377.0,72.0,298.0,14.0
hsa-let-7b-5p,1518.0,16274.0,3533.0,19843.0,6777.0,43002.0,16217.0,18746.0,3835.0,2151.0,66618.0,47605.0,55502.0,4333.0,23563.0,56713.0,26042.0,17345.0,15049.0,25054.0,59845.0,65222.0,44505.0,39710.0,7086.0,71179.0,29326.0,51763.0,1627.0,45749.0,84.0,7480.0,42734.0,55340.0,182220.0,84977.0,30460.0,31861.0,28322.0,75498.0,50024.0,66081.0,19025.0,35755.0,15175.0,165149.0,56669.0,22904.0,40943.0,58010.0,86501.0,28840.0,26020.0,18923.0,53221.0,28614.0,347407.0,53086.0,155119.0,34545.0
hsa-let-7c-3p,3.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,13.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,12.0,2.0
hsa-let-7c-5p,647.0,2956.0,458.0,2264.0,401.0,3882.0,755.0,3257.0,746.0,612.0,11264.0,3449.0,13393.0,280.0,3241.0,9056.0,2274.0,448.0,553.0,644.0,2837.0,4870.0,7900.0,11934.0,889.0,8740.0,3849.0,23841.0,281.0,6933.0,122.0,526.0,1180.0,1745.0,39561.0,3064.0,522.0,601.0,1511.0,4798.0,6414.0,2333.0,2175.0,4271.0,704.0,6764.0,14026.0,6793.0,1570.0,2069.0,3824.0,1260.0,2108.0,765.0,1649.0,1143.0,3305.0,1262.0,4748.0,1968.0
hsa-let-7d-3p,68.0,267.0,26.0,112.0,70.0,1508.0,409.0,446.0,67.0,26.0,211.0,226.0,541.0,72.0,217.0,631.0,475.0,288.0,294.0,517.0,2065.0,5514.0,652.0,738.0,50.0,220.0,1017.0,769.0,29.0,315.0,10.0,31.0,1363.0,1095.0,8046.0,12213.0,780.0,424.0,1270.0,2188.0,1196.0,1775.0,460.0,780.0,329.0,12688.0,1810.0,844.0,1024.0,1280.0,8970.0,785.0,550.0,246.0,705.0,1108.0,17763.0,4278.0,12526.0,1881.0
hsa-let-7d-5p,896.0,2206.0,107.0,1051.0,218.0,4626.0,619.0,794.0,934.0,696.0,1418.0,1145.0,2739.0,947.0,2197.0,3815.0,1262.0,230.0,245.0,607.0,4367.0,2482.0,1195.0,1648.0,557.0,3999.0,5523.0,5034.0,332.0,3775.0,12.0,229.0,3229.0,3813.0,26161.0,11843.0,655.0,914.0,9685.0,13498.0,10999.0,5172.0,2028.0,4053.0,564.0,3393.0,4463.0,2422.0,2077.0,2220.0,11719.0,1601.0,869.0,2677.0,2322.0,7976.0,11690.0,8800.0,34066.0,12563.0
hsa-let-7e-3p,0.0,0.0,2.0,7.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,18.0,17.0,3.0,0.0,4.0,0.0,3.0,37.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,3.0,4.0,2.0,8.0,2.0,1.0,0.0,3.0,10.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,8.0,7.0,9.0,5.0
hsa-let-7e-5p,94.0,727.0,37.0,226.0,64.0,2080.0,344.0,281.0,90.0,69.0,1427.0,442.0,1115.0,71.0,943.0,1321.0,409.0,125.0,144.0,282.0,1642.0,1161.0,398.0,376.0,156.0,1079.0,1229.0,2125.0,55.0,1303.0,14.0,52.0,1378.0,522.0,2064.0,2286.0,124.0,165.0,1300.0,2592.0,2996.0,871.0,187.0,1181.0,223.0,629.0,2135.0,632.0,775.0,1140.0,2023.0,595.0,139.0,205.0,665.0,1127.0,2224.0,1454.0,3296.0,2764.0
hsa-let-7f-1-3p,4.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,24.0,6.0,4.0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,64.0,33.0,6.0,4.0,17.0,17.0,12.0,0.0,3.0,0.0,0.0,13.0,4.0,11.0,0.0,1.0,48.0,1.0,4.0,3.0,7.0,4.0,28.0,9.0,16.0,6.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,23.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,4.0,2.0
hsa-let-7f-5p,6401.0,37080.0,2600.0,27952.0,3312.0,29083.0,3680.0,4405.0,9768.0,8825.0,45225.0,35128.0,48321.0,9422.0,57599.0,114901.0,8020.0,2482.0,2319.0,5241.0,32201.0,19925.0,14292.0,16399.0,17105.0,61954.0,37571.0,131832.0,5896.0,63268.0,287.0,6459.0,23551.0,17921.0,210142.0,62858.0,4460.0,5249.0,47809.0,65445.0,64645.0,28560.0,10888.0,28241.0,3167.0,15386.0,25693.0,13731.0,9191.0,12787.0,56183.0,6936.0,4552.0,15825.0,13889.0,40076.0,79918.0,72295.0,191215.0,74443.0
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,5160.0,14128.0,1953.0,9803.0,2204.0,5487.0,1150.0,1643.0,3512.0,2414.0,34820.0,17309.0,32611.0,3353.0,13646.0,41932.0,3843.0,1224.0,1882.0,2986.0,8476.0,14204.0,7011.0,6361.0,5154.0,42583.0,6918.0,90657.0,1338.0,23669.0,260.0,2165.0,8622.0,8067.0,145356.0,21495.0,2052.0,4772.0,9839.0,15941.0,14200.0,13041.0,4492.0,6967.0,1225.0,16945.0,6712.0,3895.0,4949.0,4886.0,89825.0,2531.0,2818.0,7475.0,6243.0,8078.0,60841.0,18371.0,80805.0,13551.0
hsa-let-7i-3p,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,47.0,22.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,25.0,0.0,0.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,61.0,2.0,43.0,4.0
hsa-let-7i-5p,15487.0,84331.0,7775.0,74839.0,12350.0,39792.0,8259.0,7007.0,31547.0,23283.0,90236.0,117837.0,91692.0,30048.0,128152.0,257773.0,16193.0,9015.0,9437.0,14090.0,98621.0,64795.0,21214.0,19080.0,33800.0,193871.0,51103.0,189666.0,15219.0,167987.0,458.0,19283.0,61081.0,33789.0,213919.0,101517.0,16422.0,16533.0,81407.0,98016.0,83828.0,64965.0,23031.0,44497.0,7130.0,66459.0,40430.0,23159.0,13702.0,17409.0,99132.0,12548.0,12572.0,29407.0,29155.0,61932.0,258466.0,110545.0,219468.0,91923.0
hsa-miR-1-3p,556.0,5825.0,316.0,2841.0,171.0,328.0,57.0,3229.0,282.0,317.0,22007.0,4298.0,15172.0,230.0,5319.0,18683.0,84.0,29.0,671.0,240.0,1319.0,325.0,707.0,179.0,102.0,16820.0,221.0,26066.0,140.0,7447.0,115.0,564.0,1611.0,2076.0,1306.0,834.0,100.0,2.0,240.0,225.0,154.0,455.0,57.0,85.0,1790.0,137.0,6998.0,2497.0,180.0,86.0,445.0,285.0,6.0,67.0,78.0,149.0,866.0,458.0,1286.0,190.0
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,449.0,2761.0,184.0,3165.0,262.0,190.0,159.0,227.0,170.0,321.0,5020.0,3923.0,6500.0,127.0,2125.0,21609.0,255.0,192.0,106.0,340.0,253.0,6655.0,2400.0,460.0,345.0,4504.0,144.0,32342.0,151.0,5851.0,87.0,723.0,522.0,4558.0,3773.0,1596.0,163.0,136.0,164.0,503.0,293.0,731.0,120.0,389.0,111.0,1580.0,2506.0,1225.0,336.0,324.0,2639.0,329.0,419.0,150.0,700.0,252.0,2500.0,481.0,1886.0,182.0
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,842.0,4413.0,565.0,3948.0,813.0,383.0,100.0,131.0,1110.0,863.0,9626.0,9799.0,11276.0,804.0,4657.0,23311.0,181.0,233.0,284.0,258.0,1095.0,3893.0,1882.0,503.0,1338.0,15252.0,314.0,33492.0,544.0,11554.0,336.0,1167.0,676.0,778.0,30028.0,3244.0,285.0,217.0,216.0,497.0,644.0,836.0,226.0,271.0,93.0,5191.0,441.0,191.0,167.0,345.0,4493.0,156.0,185.0,260.0,563.0,252.0,16152.0,1778.0,6128.0,565.0
hsa-miR-101-5p,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,49.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
