miRNA,GSM6579196,GSM6579195,GSM6579194,GSM6579193,GSM6579192,GSM6579191,GSM6579190,GSM6579189,GSM6579188,GSM6579187,GSM6579186,GSM6579185,GSM6579184,GSM6579183,GSM6579182,GSM6579181,GSM6579180,GSM6579179,GSM6579178,GSM6579177,GSM6579176
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,144.92,27104.33,112.48,79.53,101.36,470.82,304.34,28978.54,236.38,34597.52,130.94,259.28,265.62,111.5,230.14,597.42,807.18,448.38,328.75,97.42,165.12
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,10916.02,16219.87,6356.63,4978.4,5401.06,9164.53,8332.04,17810.99,5094.41,18815.87,6059.18,11158.09,5554.77,4835.21,5566.24,22936.14,36768.39,11328.16,9310.11,5373.73,5132.3
hsa-let-7c-3p,13.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,0.81,499.86,0.0,68.53,4.87,0.81,7.97,325.69,1.03,561.98,0.0,13.9,2.53,107.21,9.9,4.0,3.69,1.3,15.4,73.5,0.62
hsa-let-7d-3p,0.0,123.2,0.0,0.0,0.0,1.62,0.0,79.79,7.19,237.96,0.0,0.0,0.0,0.0,11.55,0.0,0.0,0.0,0.0,0.0,9.89
hsa-let-7d-5p,2.43,1346.71,0.0,2.0,0.0,13.38,2.66,1133.21,10.28,1054.24,0.0,0.0,18.55,0.71,1.65,21.59,30.1,10.38,0.67,1.71,0.62
hsa-let-7e-5p,12.14,524.44,0.0,1.5,6.49,37.71,0.66,533.57,1.03,1220.68,1.17,13.21,8.01,2.14,0.82,5.6,17.2,9.08,15.4,10.26,1.24
hsa-let-7f-1-3p,0.0,3.11,0.0,0.0,0.0,0.0,0.0,0.62,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,129.54,31640.08,226.59,93.54,156.49,941.23,474.45,36221.93,398.24,53408.62,182.62,330.88,377.77,176.54,300.25,876.53,820.69,695.6,473.37,241.85,156.46
hsa-let-7g-5p,0.0,1805.88,0.82,6.5,6.49,22.3,37.21,1770.88,23.12,1936.6,6.46,0.0,4.22,0.71,0.82,1.6,25.8,11.68,13.39,11.96,20.41
hsa-let-7i-3p,0.0,5.93,0.0,0.0,17.84,2.43,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,109.3,15400.15,0.0,107.54,214.06,264.4,41.86,13061.54,59.09,17824.06,51.67,75.77,137.45,18.58,197.14,833.34,699.06,428.91,265.14,238.43,191.09
hsa-miR-1-3p,0.0,24.02,0.0,10.0,0.81,12.57,0.66,53.29,66.29,32.47,9.98,24.33,0.0,0.0,53.62,0.0,0.0,7.14,13.39,0.0,0.0
hsa-miR-100-5p,0.0,85.9,0.0,0.0,8.92,3.65,0.0,48.31,0.0,29.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-2-5p,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,13746.43,7710.39,8820.55,14433.5,11565.93,25204.38,14839.39,4048.52,10290.57,5161.1,6865.97,12644.96,11055.99,6936.54,5666.05,14900.21,16150.94,9722.18,5922.85,3884.16,3636.33
hsa-miR-101-5p,0.0,2.83,0.0,0.0,0.0,0.0,0.0,4.67,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10397-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.77,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,4.06,15.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,10387.34,3517.1,11578.7,33448.74,15835.86,115167.11,27284.62,3118.82,24821.52,183.69,9495.98,15000.03,34417.64,11455.83,8508.56,24834.75,27690.39,22276.08,13582.51,11322.6,8463.74
hsa-miR-10401-3p,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10526-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,0.57,0.0,0.0,0.0,0.0,0.0,3.12,0.0,9.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,0.0,348.12,0.0,0.0,0.0,3.65,0.0,274.26,0.0,237.05,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-5p,0.0,30.23,0.0,0.0,0.0,2.84,0.0,10.6,0.0,63.35,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.65,0.0,0.0,0.0
hsa-miR-107,13.76,71.49,22.01,183.07,23.51,669.93,121.6,18.08,113.05,52.45,28.77,100.1,246.22,61.47,124.56,269.52,215.62,189.47,105.79,164.08,113.17
hsa-miR-10a-3p,0.0,9.32,0.0,0.0,0.0,0.0,10.63,18.39,9.76,10.9,0.0,10.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10a-5p,149.78,2239.62,117.37,185.57,117.57,631.81,481.76,1516.87,267.72,3059.42,255.43,228.0,227.67,226.57,54.44,253.52,356.9,220.62,358.88,178.61,529.99
hsa-miR-10b-3p,0.0,19.21,0.0,0.0,0.0,0.0,0.0,7.17,7.19,13.17,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,13.61
hsa-miR-10b-5p,22.67,3456.35,64.39,18.01,0.0,5.27,39.87,1909.26,11.82,4886.58,6.46,11.12,15.18,6.43,8.25,0.0,11.06,11.68,26.11,11.11,9.28
hsa-miR-11400,0.0,27.13,0.0,0.0,0.0,0.0,0.0,52.98,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0
hsa-miR-11401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1179,0.0,0.0,0.0,0.0,0.0,10.14,12.63,6.54,14.9,0.0,0.0,0.0,8.85,0.0,3.3,11.2,2.46,5.19,8.7,0.0,0.0
hsa-miR-1180-3p,0.0,53.97,0.0,0.0,0.0,0.0,0.0,21.19,0.0,7.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99,0.0,6.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
