miRNA,SRR21848191,SRR21848192,SRR21848193,SRR21848194,SRR21848195
hsa-let-7a-2-3p,27.0,0.0,9.0,0.0,0.0
hsa-let-7a-3p,0.0,1.0,105.0,1009.0,180.0
hsa-let-7a-5p,10480.0,38174.0,297419.0,918333.0,269452.0
hsa-let-7b-3p,0.0,0.0,15.0,99.0,13.0
hsa-let-7b-5p,3711.0,22042.0,211363.0,323195.0,160838.0
hsa-let-7c-5p,17.0,483.0,1916.0,1063.0,1011.0
hsa-let-7d-3p,203.0,224.0,253.0,1410.0,293.0
hsa-let-7d-5p,392.0,1859.0,9743.0,61547.0,11455.0
hsa-let-7e-3p,0.0,0.0,4.0,0.0,0.0
hsa-let-7e-5p,198.0,259.0,813.0,762.0,212.0
hsa-let-7f-1-3p,0.0,0.0,0.0,30.0,9.0
hsa-let-7f-2-3p,0.0,0.0,3.0,58.0,17.0
hsa-let-7f-5p,9920.0,39992.0,155662.0,2421421.0,234063.0
hsa-let-7g-3p,14.0,3.0,10.0,72.0,10.0
hsa-let-7g-5p,4706.0,7358.0,140684.0,291320.0,34508.0
hsa-let-7i-3p,0.0,3.0,18.0,338.0,19.0
hsa-let-7i-5p,3528.0,6275.0,29110.0,385265.0,57703.0
hsa-miR-1-3p,96.0,42.0,71.0,9.0,33.0
hsa-miR-100-3p,0.0,12.0,0.0,0.0,0.0
hsa-miR-100-5p,152.0,78.0,118.0,46.0,76.0
hsa-miR-101-2-5p,0.0,0.0,0.0,4.0,0.0
hsa-miR-101-3p,270.0,4594.0,2249.0,249478.0,33107.0
hsa-miR-101-5p,0.0,29.0,18.0,1041.0,128.0
hsa-miR-10395-3p,0.0,8.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,5.0,4.0,52.0,16.0
hsa-miR-10399-5p,0.0,0.0,0.0,3.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,4.0,12.0,1.0
hsa-miR-103a-3p,1035.0,4.0,8266.0,114032.0,9930.0
hsa-miR-10401-3p,0.0,0.0,4.0,10.0,3.0
hsa-miR-106a-3p,0.0,0.0,1.0,46.0,3.0
hsa-miR-106a-5p,0.0,7.0,75.0,1023.0,148.0
hsa-miR-106b-3p,760.0,2175.0,3552.0,93524.0,27736.0
hsa-miR-106b-5p,133.0,389.0,190.0,23292.0,2163.0
hsa-miR-107,191.0,118.0,934.0,5631.0,14250.0
hsa-miR-10a-3p,22.0,0.0,0.0,0.0,0.0
hsa-miR-10a-5p,15208.0,10725.0,4753.0,411.0,401.0
hsa-miR-10b-5p,14243.0,9387.0,3781.0,180.0,313.0
hsa-miR-11401,0.0,0.0,6.0,97.0,16.0
hsa-miR-1179,0.0,0.0,4.0,7.0,0.0
hsa-miR-1180-3p,0.0,88.0,163.0,3324.0,542.0
hsa-miR-12129,18.0,0.0,0.0,0.0,0.0
hsa-miR-12136,0.0,0.0,3.0,0.0,0.0
hsa-miR-122-5p,0.0,13.0,0.0,8.0,6.0
hsa-miR-1224-5p,0.0,0.0,0.0,2.0,0.0
hsa-miR-1226-3p,0.0,0.0,0.0,7.0,0.0
hsa-miR-1228-3p,0.0,0.0,0.0,1.0,0.0
hsa-miR-1229-3p,0.0,0.0,0.0,4.0,1.0
hsa-miR-1233-3p,0.0,0.0,2.0,2.0,0.0
hsa-miR-1234-3p,0.0,0.0,0.0,1.0,0.0
hsa-miR-1238-3p,0.0,0.0,0.0,1.0,0.0
hsa-miR-124-3p,0.0,0.0,16.0,0.0,0.0
hsa-miR-1246,0.0,8.0,20.0,1.0,0.0
hsa-miR-1247-5p,0.0,0.0,0.0,0.0,10.0
hsa-miR-1249-3p,17.0,22.0,45.0,3.0,4.0
hsa-miR-1250-5p,0.0,0.0,3.0,0.0,0.0
hsa-miR-1255a,0.0,3.0,1.0,248.0,20.0
hsa-miR-1255b-5p,8.0,0.0,12.0,193.0,15.0
hsa-miR-1256,0.0,0.0,0.0,0.0,2.0
hsa-miR-125a-3p,0.0,0.0,3.0,1.0,9.0
hsa-miR-125a-5p,570.0,439.0,551.0,12.0,20.0
hsa-miR-125b-1-3p,26.0,0.0,0.0,0.0,0.0
hsa-miR-125b-5p,179.0,52.0,21.0,15.0,6.0
hsa-miR-126-3p,18.0,536.0,976.0,17727.0,1736.0
hsa-miR-126-5p,2.0,220.0,1189.0,22449.0,4452.0
hsa-miR-1260b,27.0,9.0,26.0,0.0,17.0
hsa-miR-1262,0.0,0.0,5.0,0.0,0.0
hsa-miR-1269b,0.0,0.0,31.0,0.0,0.0
hsa-miR-127-3p,0.0,0.0,7.0,9.0,5.0
hsa-miR-127-5p,0.0,0.0,2.0,0.0,0.0
hsa-miR-1270,0.0,0.0,23.0,144.0,60.0
hsa-miR-1271-5p,0.0,0.0,0.0,0.0,1.0
hsa-miR-1273h-3p,21.0,0.0,23.0,5.0,0.0
hsa-miR-1273h-5p,0.0,0.0,6.0,0.0,0.0
hsa-miR-1275,0.0,1.0,7.0,0.0,0.0
hsa-miR-1276,0.0,0.0,0.0,1.0,0.0
hsa-miR-1277-3p,0.0,0.0,0.0,16.0,0.0
hsa-miR-1278,0.0,0.0,0.0,36.0,11.0
hsa-miR-128-1-5p,0.0,0.0,0.0,12.0,9.0
hsa-miR-128-3p,199.0,330.0,307.0,8372.0,1110.0
