miRNA,SRR21850582,SRR21850583,SRR21850584,SRR21850586,SRR21850587,SRR21850588,SRR21850589
hsa-let-7a-5p,0.0,0.0,0.0,34.0,0.0,0.0,1.0
hsa-let-7b-5p,34.0,0.0,17.0,22.0,0.0,55.0,1.0
hsa-let-7c-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-let-7d-3p,23.0,0.0,0.0,0.0,0.0,35.0,0.0
hsa-let-7d-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-let-7f-5p,0.0,0.0,0.0,1.0,85.0,0.0,0.0
hsa-let-7g-5p,0.0,0.0,0.0,0.0,11.0,0.0,0.0
hsa-let-7i-5p,0.0,1.0,0.0,0.0,0.0,2.0,0.0
hsa-miR-100-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.0,72.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-10400-3p,0.0,0.0,0.0,0.0,0.0,0.0,80.0
hsa-miR-1257,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-125a-5p,0.0,0.0,0.0,1.0,22.0,1.0,0.0
hsa-miR-125b-5p,0.0,0.0,1.0,0.0,1.0,1.0,0.0
hsa-miR-1343-5p,0.0,0.0,0.0,0.0,0.0,0.0,16.0
hsa-miR-152-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-16-5p,0.0,0.0,0.0,0.0,0.0,84.0,0.0
hsa-miR-181a-5p,0.0,0.0,0.0,0.0,0.0,66.0,0.0
hsa-miR-191-5p,0.0,0.0,7.0,0.0,0.0,0.0,0.0
hsa-miR-199a-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-199b-5p,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-203a-3p,0.0,0.0,0.0,7.0,0.0,0.0,0.0
hsa-miR-221-3p,0.0,37.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-222-3p,1.0,1.0,1.0,0.0,2.0,0.0,0.0
hsa-miR-223-3p,0.0,0.0,0.0,20.0,0.0,0.0,0.0
hsa-miR-23b-3p,0.0,65.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-26a-5p,0.0,0.0,1.0,1.0,0.0,0.0,0.0
hsa-miR-3059-3p,0.0,0.0,47.0,0.0,0.0,0.0,0.0
