miRNA,GSM6675021,GSM6675015,GSM6675018,GSM6675019,GSM6675020,GSM6675017,GSM6675014,GSM6675004,GSM6675016,GSM6675011,GSM6675013,GSM6675012,GSM6675008,GSM6675010,GSM6675009,GSM6675007,GSM6675006,GSM6675005,GSM6675001,GSM6675000,GSM6675003,GSM6675002,GSM6674997,GSM6674999,GSM6674996,GSM6674993,GSM6674998,GSM6674995,GSM6674994,GSM6674985,GSM6674988,GSM6674989,GSM6674992,GSM6674991,GSM6674990,GSM6674986,GSM6674987,GSM6674984,GSM6674983,GSM6674982
hsa-let-7a-2-3p,0.0,0.21,0.0,0.14,0.0,0.0,0.0,0.23,0.0,0.32,0.29,0.0,0.1,0.38,0.0,0.22,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.15
hsa-let-7a-3p,28.89,15.19,11.55,25.88,12.71,8.45,33.02,5.86,2.98,13.88,12.86,7.88,18.09,22.99,24.92,13.44,10.57,18.65,35.95,18.35,10.86,14.79,14.76,13.6,15.91,26.18,27.49,4.08,8.37,5.65,47.8,13.96,9.09,8.33,12.26,8.81,18.74,28.32,2.79,9.2
hsa-let-7a-5p,11489.7,10443.86,10744.97,11868.53,6642.73,5525.94,11650.63,8983.17,5370.31,10409.12,8334.14,4532.86,12824.87,14177.91,11299.44,7333.41,5109.15,7889.47,12456.44,11347.96,14078.67,12111.18,9104.49,10632.63,11405.76,10313.91,7891.66,6358.9,10127.1,3571.62,11025.39,11915.52,6200.94,5528.38,11943.18,11068.47,10047.51,8553.81,4191.91,7416.7
hsa-let-7b-3p,27.32,26.79,16.36,27.48,16.0,16.52,23.21,20.75,9.85,20.5,20.58,8.68,25.65,22.8,26.42,15.39,11.11,17.46,24.55,27.73,23.19,26.37,12.93,23.33,21.05,13.64,34.98,19.39,16.22,4.89,30.7,21.87,13.02,22.5,15.49,17.03,24.36,24.41,11.38,12.42
hsa-let-7b-5p,4395.01,3956.13,4151.82,5833.11,2996.09,2141.67,4036.83,1875.66,1848.53,4203.38,2256.78,1940.63,4385.83,4343.01,4274.88,2183.31,1498.23,3700.04,3426.91,3478.1,3665.18,4065.62,3130.76,3176.38,3494.05,4137.26,2879.85,2485.89,3420.51,1377.39,4912.6,2137.01,2129.98,3081.69,2879.89,3321.48,3918.92,2776.24,1130.8,2860.85
hsa-let-7c-3p,1.43,0.84,0.77,1.16,0.66,0.56,0.82,1.35,1.83,0.63,1.14,0.48,0.6,0.19,2.58,0.0,0.54,0.4,2.57,1.36,0.55,0.71,0.61,1.84,1.09,1.25,1.0,0.51,1.05,0.19,1.44,0.62,0.91,0.0,0.68,1.76,0.0,0.0,0.4,0.88
hsa-let-7c-5p,4225.52,3046.45,2467.31,3179.59,1371.68,1539.79,2632.53,1287.5,1477.13,2802.78,1923.44,1102.6,2599.75,2763.77,3059.44,1371.45,913.84,2787.73,2742.01,3376.88,2297.71,2410.94,2471.88,2357.85,2413.26,2664.83,2115.97,1098.77,2283.83,941.97,2941.01,1081.52,1053.48,1290.85,1617.1,1976.68,2313.68,1651.78,794.12,1879.23
hsa-let-7d-3p,186.8,159.03,149.52,180.18,96.44,104.0,158.25,222.81,109.98,168.73,167.53,89.04,212.04,208.28,212.24,135.89,101.33,172.46,246.49,187.34,251.01,227.86,128.9,208.35,164.36,133.9,192.41,129.12,136.53,67.93,160.09,191.43,112.38,148.33,170.77,123.91,135.88,158.2,90.21,126.81
hsa-let-7d-5p,1425.43,1137.04,1239.43,1261.11,766.06,664.01,1202.57,895.99,580.82,1196.87,828.21,535.06,1536.47,1400.85,1378.06,853.26,501.22,1149.07,1559.0,1120.8,1495.0,1283.95,990.82,1280.62,1340.11,1205.41,955.53,814.0,1250.72,423.75,1326.48,1236.3,700.91,777.51,1383.85,1311.33,1144.19,945.76,489.56,878.91
hsa-let-7e-3p,4.0,2.53,1.35,2.89,2.41,0.75,2.62,0.68,0.69,0.95,3.72,0.8,2.58,2.68,1.07,2.82,2.17,1.59,3.21,2.81,2.02,1.6,1.34,3.67,1.72,2.35,2.75,3.57,0.52,0.19,3.09,2.29,0.61,0.0,0.51,1.76,2.81,1.95,1.4,0.88
hsa-let-7e-5p,474.29,709.1,556.69,551.09,346.1,356.13,583.95,478.78,365.44,542.14,529.46,275.49,602.12,786.94,465.94,430.2,306.42,393.14,676.24,606.63,853.13,667.72,464.99,670.07,629.67,449.99,464.02,426.14,560.23,210.18,330.08,1075.69,371.05,265.0,863.54,532.05,582.87,420.88,295.57,377.66
hsa-let-7f-1-3p,5.15,4.64,3.46,3.76,3.51,1.88,4.74,2.26,1.15,1.89,4.29,1.13,5.57,3.83,3.87,2.82,1.35,1.79,6.58,4.48,3.68,3.38,2.2,4.59,3.59,3.92,5.0,1.53,2.09,1.69,5.15,2.92,2.12,0.83,3.06,1.17,2.81,2.44,2.99,1.9
hsa-let-7f-2-3p,1.14,0.84,1.73,1.45,0.66,0.38,1.96,0.0,0.69,0.32,0.57,0.48,0.7,1.34,1.29,0.87,0.0,0.0,1.28,0.73,0.55,0.53,0.49,0.55,0.47,1.41,1.25,0.0,0.0,0.19,3.3,0.62,0.3,0.0,0.85,0.59,1.87,0.98,0.8,0.88
hsa-let-7f-5p,22855.82,19844.75,20886.87,22260.92,13069.78,8627.67,25330.22,14473.7,9136.56,16898.06,16124.53,8873.81,20342.29,30909.58,21996.75,14305.11,9335.61,13368.67,25530.71,20405.02,24542.39,22759.18,17255.83,19230.42,19744.88,18433.06,16407.01,9435.77,15312.0,5818.34,18745.49,21273.46,10243.12,6199.22,19750.3,19223.01,17233.14,15182.42,6975.41,11684.74
hsa-let-7g-3p,4.43,1.9,1.92,4.19,1.97,0.56,4.09,0.9,1.37,2.21,1.72,2.25,1.09,2.87,2.79,1.95,0.54,1.79,3.05,2.4,0.74,2.49,1.95,2.39,3.43,4.23,4.5,0.51,0.0,0.38,9.68,1.67,1.51,0.83,2.38,3.52,2.81,3.42,1.4,2.19
hsa-let-7g-5p,4001.25,2933.82,2590.46,3521.01,1943.98,1462.82,4415.46,1294.04,1160.49,2261.59,2025.5,1279.4,2777.99,3806.31,3387.47,1893.12,1089.13,2055.02,3588.83,3361.97,2538.6,2963.39,2451.27,2841.43,2675.08,3138.66,3093.24,1513.17,1825.07,764.15,5405.45,2510.5,1376.07,1285.01,2295.91,2602.1,2622.92,2690.31,899.89,1717.5
hsa-let-7i-3p,73.66,48.51,58.69,102.38,43.18,46.93,94.17,27.29,41.01,51.41,48.89,41.31,60.84,75.49,102.68,78.24,29.26,68.07,102.22,60.15,61.65,86.58,42.44,87.09,67.83,73.22,82.96,59.71,42.37,14.68,112.5,42.91,41.8,47.5,50.23,49.33,72.16,47.85,17.36,49.67
hsa-let-7i-5p,836.15,1159.82,1325.25,1426.25,1044.87,880.85,2110.21,546.89,1045.24,749.97,583.49,989.12,798.65,1152.53,1234.78,986.76,615.0,835.5,1648.55,1173.75,853.5,1211.26,1321.18,1471.15,2243.45,1767.04,1256.39,832.88,1069.2,736.87,1906.28,957.17,1661.4,760.01,1278.29,1307.22,1322.24,1157.66,553.83,1103.32
hsa-miR-100-3p,0.72,1.27,0.19,1.3,0.22,0.0,1.14,0.45,0.0,0.0,0.86,0.16,0.99,0.19,0.43,0.22,0.27,0.0,0.16,0.31,0.37,0.36,0.49,1.29,0.62,0.78,0.25,0.51,0.0,0.0,0.41,0.42,0.0,0.0,0.51,0.59,0.0,0.49,0.0,0.0
hsa-miR-100-5p,626.61,852.94,228.41,738.5,247.24,144.18,578.56,867.35,299.0,650.63,601.5,156.87,767.04,541.87,431.36,429.99,172.04,412.0,698.86,390.94,583.9,920.87,73.17,854.36,192.27,263.57,341.83,120.44,137.57,45.16,103.64,192.06,50.58,188.34,93.13,126.85,101.21,151.85,61.07,58.88
hsa-miR-101-2-5p,0.57,0.21,0.19,0.14,0.0,0.19,0.0,0.0,0.23,0.63,0.0,0.0,0.4,1.15,0.21,0.22,0.27,0.4,0.48,0.42,0.0,0.53,0.85,1.1,0.31,0.31,0.25,0.51,0.52,0.0,0.0,0.21,0.91,0.83,0.51,0.0,0.0,0.49,0.0,0.44
