miRNA,SRR22385194,SRR22385195,SRR22385196,SRR22385197,SRR22385198,SRR22385199,SRR22385201,SRR22385202,SRR22385203,SRR22385204,SRR22385205,SRR22385206,SRR22385207,SRR22385208,SRR22385209,SRR22385210,SRR22385211,SRR22385212,SRR22385213,SRR22385214,SRR22385215,SRR22385216,SRR22385217,SRR22385219,SRR22385220,SRR22385221,SRR22385222,SRR22385223,SRR22385224,SRR22385225,SRR22385258,SRR22385259,SRR22385260,SRR22385261,SRR22385262,SRR22385263,SRR22385264,SRR22385266,SRR22385267,SRR22385268,SRR22385269,SRR22385270,SRR22385271,SRR22385272,SRR22385273,SRR22385274,SRR22385275,SRR22385276,SRR22385278,SRR22385279,SRR22385280,SRR22385281,SRR22385282,SRR22385283,SRR22385284,SRR22385285,SRR22385286,SRR22385287,SRR22385290,SRR22385291,SRR22385292,SRR22385293,SRR22385294,SRR22385295,SRR22385296,SRR22385297,SRR22385298,SRR22385299,SRR22385301,SRR22385302,SRR22385303,SRR22385304,SRR22385305,SRR22385307,SRR22385308,SRR22385309,SRR22385310,SRR22385311,SRR22385312,SRR22385313,SRR22385314,SRR22385315,SRR22385316,SRR22385318,SRR22385370,SRR22385372,SRR22385373,SRR22385374,SRR22385375,SRR22385376,SRR22385377,SRR22385378,SRR22385379,SRR22385380,SRR22385381,SRR22385383,SRR22385384,SRR22385385,SRR22385386,SRR22385387,SRR22385388,SRR22385389,SRR22385390,SRR22385392,SRR22385393,SRR22385394,SRR22385395,SRR22385396,SRR22385397,SRR22385398,SRR22385399,SRR22385400,SRR22385401,SRR22385432,SRR22385433,SRR22385434,SRR22385436,SRR22385437,SRR22385438,SRR22385439,SRR22385440,SRR22385441,SRR22385442,SRR22385443,SRR22385444,SRR22385445,SRR22385447,SRR22385448
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,0.0,0.0,0.0,0.0,9.18,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,4119.45,3662.71,998.92,3113.85,3740.3,4761.86,6624.0,2580.32,3547.15,3988.62,3657.12,875.25,2589.86,4042.74,1224.22,1169.07,768.72,1868.96,991.4,1014.09,1616.4,1019.99,2671.04,1611.97,1069.29,1416.52,2324.89,4152.13,776.47,856.94,457.69,845.61,1856.77,2157.77,1828.59,2611.02,1812.21,24160.06,1449.69,1926.81,2761.27,1289.31,5052.37,1293.94,1786.47,8257.04,299.17,2934.63,1972.11,2853.65,1766.07,2390.76,998.74,2542.41,5491.96,3723.05,1433.7,308.95,925.78,2929.97,697.7,1197.78,1284.58,1156.45,1696.32,811.99,1709.04,942.29,2745.81,734.71,1775.04,13462.7,2980.29,3361.63,5196.55,4223.05,1438.85,28278.47,19604.05,9616.5,10052.46,9445.8,2939.25,11978.83,7042.25,1309.68,7487.43,3901.07,1524.31,4895.51,9516.09,16721.59,14610.88,10168.81,7990.25,5342.14,972.18,1389.61,455.08,1453.63,1546.45,872.18,2772.83,1854.69,1407.06,2217.64,4632.12,1881.36,1213.12,1584.73,898.89,1725.43,1296.8,875.18,2019.75,1578.06,2894.35,4163.37,2969.93,4715.64,3090.59,2320.27,4502.53,4178.24,2931.24,10407.46,870.12,1934.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.47,0.0,0.0,0.0,0.0,17.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,3510.48,1635.91,1190.8,2175.28,3765.83,1917.76,1538.14,851.04,3849.62,1964.05,1993.06,496.49,2037.14,2000.65,814.68,931.72,734.55,1457.21,713.91,328.09,926.99,787.99,1633.78,1452.89,552.96,1108.95,1085.24,2599.59,427.53,598.3,373.78,444.21,1570.11,1478.03,2725.43,2221.8,1610.85,8333.54,1103.8,779.99,1514.99,1144.82,2061.04,674.31,2218.37,3914.14,369.56,1661.62,2532.1,2606.95,2108.99,1316.76,324.18,1585.23,2526.38,3020.59,354.69,200.17,896.54,2248.0,682.08,1061.19,416.62,612.24,695.21,395.22,1418.68,638.55,2739.96,302.93,508.68,14379.22,2761.51,1569.45,2646.39,2027.73,1159.46,14027.63,12513.84,4371.53,7247.68,7105.37,2321.65,10090.74,2816.9,957.37,3066.58,2956.19,708.98,2472.48,5741.62,3741.0,3753.18,2834.67,3286.39,2836.86,566.18,1277.42,231.73,1029.96,1431.0,541.48,1419.62,1672.92,949.6,1468.71,4379.79,2411.91,741.35,1411.06,928.12,897.79,983.48,355.4,894.24,1076.79,2049.06,2287.68,1271.95,1717.69,4607.2,973.49,1458.31,1368.96,1648.82,6921.02,1586.52,1421.83
hsa-let-7c-5p,107.46,72.39,5.64,0.0,229.78,10.01,39.95,46.63,153.98,16.5,61.99,5.12,10.53,30.14,30.83,12.62,27.33,14.32,20.18,0.0,0.0,4.0,59.65,7.95,3.33,0.0,4.41,242.89,15.72,12.46,0.0,21.41,19.54,3.95,0.0,45.41,63.28,163.67,0.0,0.0,60.23,22.23,20.56,0.0,0.0,118.02,0.0,26.8,32.46,40.0,0.0,0.0,0.0,57.1,86.34,26.46,0.0,0.0,0.0,5.05,98.93,0.0,0.0,43.29,0.0,0.0,117.61,13.81,23.39,0.0,0.0,226.7,22.32,20.72,168.41,175.96,34.92,652.04,230.44,90.36,43.95,56.06,0.0,312.35,0.0,0.0,62.27,66.65,8.86,39.56,48.93,48.82,106.15,7.5,92.23,24.56,14.9,22.95,0.0,0.0,31.49,0.0,58.11,113.61,0.0,90.34,70.35,71.49,0.0,27.14,18.27,28.06,26.11,0.0,5.14,60.34,67.92,43.37,0.0,17.78,8.2,29.28,0.0,6.49,0.0,110.5,13.72,107.02
hsa-let-7d-3p,49.25,0.0,0.0,0.0,114.89,95.14,23.97,0.0,65.99,16.5,23.84,0.0,10.53,0.0,0.0,5.05,30.75,0.0,0.0,0.0,27.95,0.0,76.22,5.3,0.0,14.11,0.0,78.78,0.0,31.16,0.0,21.41,0.0,0.0,0.0,9.73,0.0,2.77,0.0,0.0,0.0,50.02,154.19,0.0,3.93,67.23,0.0,80.4,40.58,93.34,0.0,66.21,0.0,6.72,71.32,24.63,0.0,0.0,0.0,40.41,0.0,0.0,0.0,0.0,0.0,3.59,0.0,10.35,17.55,0.0,39.13,22.67,13.39,0.0,48.12,16.76,0.0,82.24,53.5,38.72,151.83,161.17,9.02,398.59,0.0,0.0,116.75,23.52,8.86,0.0,58.72,0.0,151.64,239.97,456.31,0.0,0.0,12.75,0.0,0.0,0.0,14.54,29.06,0.0,27.73,29.14,209.51,101.59,0.0,16.28,54.81,7.01,34.81,8.89,20.56,46.41,15.09,75.89,0.0,46.23,90.18,21.96,127.6,175.17,0.0,63.14,0.0,22.93
hsa-let-7d-5p,147.76,260.59,124.16,187.71,140.42,290.42,343.58,233.16,44.0,231.07,147.81,35.83,184.24,97.96,110.09,53.02,23.92,136.05,52.98,39.77,51.24,56.0,96.1,47.72,63.29,62.08,110.29,101.75,18.86,15.58,0.0,10.7,110.75,256.88,102.04,87.57,63.28,1001.47,0.0,65.64,301.14,66.69,262.13,27.34,180.61,339.13,17.6,100.5,89.27,150.02,28.58,102.99,16.37,63.81,95.72,228.98,37.34,39.16,297.22,20.21,0.0,105.07,13.89,105.13,11.92,53.89,117.61,20.71,87.73,0.0,46.24,589.42,129.48,253.81,384.93,301.65,48.89,710.78,823.01,395.85,431.5,343.36,216.39,801.85,0.0,68.93,210.15,184.27,70.9,316.48,471.4,768.95,796.13,382.46,747.57,143.28,18.62,45.9,0.0,73.05,69.98,10.9,182.64,34.08,0.0,49.54,437.37,199.42,67.4,157.39,91.35,63.13,26.11,13.33,10.28,218.14,264.15,173.47,91.95,152.92,106.57,102.47,455.72,304.93,50.89,493.88,52.15,95.55
hsa-let-7e-5p,161.2,7.24,5.64,88.34,127.66,95.14,59.93,42.75,38.5,159.54,85.83,15.36,26.32,199.69,8.81,27.77,44.41,0.0,47.93,0.0,0.0,44.0,53.02,34.47,16.66,28.22,35.29,105.03,18.86,37.39,0.0,90.98,0.0,209.45,5.37,3.24,0.0,837.79,0.0,3.86,46.33,27.79,102.79,18.22,0.0,70.22,0.0,60.3,0.0,33.34,0.0,73.56,39.29,30.23,86.34,36.49,18.67,0.0,4.87,20.21,0.0,63.04,6.94,74.21,35.75,7.19,117.61,13.81,40.94,18.09,113.83,207.27,91.53,20.72,96.23,16.76,0.0,587.42,382.7,370.03,275.68,203.21,175.81,438.22,0.0,7.66,233.5,58.81,53.17,98.9,308.29,829.98,144.06,127.49,160.19,118.71,18.62,22.95,0.0,102.27,1.75,0.0,49.81,45.44,0.0,14.57,71.88,45.15,26.96,54.27,51.16,14.03,0.0,57.75,5.14,60.34,18.87,184.32,52.1,135.14,16.4,0.0,36.46,0.0,50.89,356.31,0.0,64.98
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,5740.36,4828.12,2816.15,4869.54,8501.84,4306.2,14506.48,2856.23,4487.56,6491.83,5478.52,1637.89,5253.41,5485.77,1572.11,1762.45,1551.1,2370.21,1947.49,1227.85,2249.92,1187.99,5023.94,3075.46,1282.48,1701.52,1786.68,3702.45,911.65,1025.21,747.56,1750.09,2964.32,2730.8,2365.62,3298.64,2226.43,8233.67,1470.03,1841.86,3020.71,1817.26,8542.26,1503.53,3129.27,7239.66,514.75,3309.84,2881.07,3757.08,2611.95,2346.62,1381.87,2797.66,6177.05,4554.15,1168.61,274.14,891.67,2515.74,723.73,1633.82,840.18,964.74,679.32,855.11,1845.03,1501.44,4821.98,533.51,2155.66,3679.01,3178.98,2978.33,4522.93,4591.73,1362.02,38731.64,13740.12,5473.02,13860.09,13215.7,7077.65,13456.66,4225.35,850.14,7767.63,3340.42,1799.04,5241.66,9835.79,24417.19,16961.36,14098.34,16854.29,3651.49,1367.02,1891.91,128.43,2150.01,2295.19,744.99,3353.96,3033.4,3389.43,3024.85,5626.14,3250.99,1213.12,2111.17,1450.65,1774.53,948.67,1936.95,1593.18,2831.22,5283.04,12099.79,3901.68,11757.09,1811.73,2854.59,3919.21,3419.15,4345.97,9767.0,1215.97,2549.36
