miRNA,SRR22385194,SRR22385195,SRR22385196,SRR22385197,SRR22385198,SRR22385199,SRR22385201,SRR22385202,SRR22385203,SRR22385204,SRR22385205,SRR22385206,SRR22385207,SRR22385208,SRR22385209,SRR22385210,SRR22385211,SRR22385212,SRR22385213,SRR22385214,SRR22385215,SRR22385216,SRR22385217,SRR22385219,SRR22385220,SRR22385221,SRR22385222,SRR22385223,SRR22385224,SRR22385225,SRR22385258,SRR22385259,SRR22385260,SRR22385261,SRR22385262,SRR22385263,SRR22385264,SRR22385266,SRR22385267,SRR22385268,SRR22385269,SRR22385270,SRR22385271,SRR22385272,SRR22385273,SRR22385274,SRR22385275,SRR22385276,SRR22385278,SRR22385279,SRR22385280,SRR22385281,SRR22385282,SRR22385283,SRR22385284,SRR22385285,SRR22385286,SRR22385287,SRR22385290,SRR22385291,SRR22385292,SRR22385293,SRR22385294,SRR22385295,SRR22385296,SRR22385297,SRR22385298,SRR22385299,SRR22385301,SRR22385302,SRR22385303,SRR22385304,SRR22385305,SRR22385307,SRR22385308,SRR22385309,SRR22385310,SRR22385311,SRR22385312,SRR22385313,SRR22385314,SRR22385315,SRR22385316,SRR22385318,SRR22385370,SRR22385372,SRR22385373,SRR22385374,SRR22385375,SRR22385376,SRR22385377,SRR22385378,SRR22385379,SRR22385380,SRR22385381,SRR22385383,SRR22385384,SRR22385385,SRR22385386,SRR22385387,SRR22385388,SRR22385389,SRR22385390,SRR22385392,SRR22385393,SRR22385394,SRR22385395,SRR22385396,SRR22385397,SRR22385398,SRR22385399,SRR22385400,SRR22385401,SRR22385432,SRR22385433,SRR22385434,SRR22385436,SRR22385437,SRR22385438,SRR22385439,SRR22385440,SRR22385441,SRR22385442,SRR22385443,SRR22385444,SRR22385445,SRR22385447,SRR22385448
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,920.0,506.0,177.0,564.0,293.0,951.0,1658.0,664.0,645.0,725.0,767.0,171.0,492.0,1073.0,278.0,463.0,225.0,522.0,393.0,204.0,347.0,255.0,806.0,608.0,321.0,502.0,527.0,1265.0,247.0,275.0,60.0,158.0,285.0,546.0,681.0,805.0,315.0,8709.0,285.0,499.0,596.0,232.0,983.0,142.0,455.0,5527.0,68.0,438.0,243.0,856.0,309.0,325.0,305.0,757.0,2926.0,4081.0,384.0,71.0,190.0,580.0,134.0,228.0,185.0,187.0,427.0,226.0,465.0,273.0,939.0,325.0,499.0,4157.0,1335.0,649.0,216.0,504.0,206.0,9628.0,4764.0,2235.0,2516.0,1348.0,652.0,5139.0,5.0,171.0,962.0,995.0,172.0,495.0,5834.0,2740.0,1927.0,1356.0,1646.0,1305.0,261.0,545.0,163.0,597.0,884.0,240.0,668.0,653.0,203.0,761.0,3029.0,500.0,180.0,292.0,246.0,246.0,149.0,197.0,393.0,340.0,767.0,384.0,969.0,1326.0,377.0,317.0,247.0,644.0,288.0,4615.0,317.0,506.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,784.0,226.0,211.0,394.0,295.0,383.0,385.0,219.0,700.0,357.0,418.0,97.0,387.0,531.0,185.0,369.0,215.0,407.0,283.0,66.0,199.0,197.0,493.0,548.0,166.0,393.0,246.0,792.0,136.0,192.0,49.0,83.0,241.0,374.0,1015.0,685.0,280.0,3004.0,217.0,202.0,327.0,206.0,401.0,74.0,565.0,2620.0,84.0,248.0,312.0,782.0,369.0,179.0,99.0,472.0,1346.0,3311.0,95.0,46.0,184.0,445.0,131.0,202.0,60.0,99.0,175.0,110.0,386.0,185.0,937.0,134.0,143.0,4440.0,1237.0,303.0,110.0,242.0,166.0,4776.0,3041.0,1016.0,1814.0,1014.0,515.0,4329.0,2.0,125.0,394.0,754.0,80.0,250.0,3520.0,613.0,495.0,378.0,677.0,693.0,152.0,501.0,83.0,423.0,818.0,149.0,342.0,589.0,137.0,504.0,2864.0,641.0,110.0,260.0,254.0,128.0,113.0,80.0,174.0,232.0,543.0,211.0,415.0,483.0,562.0,133.0,80.0,211.0,162.0,3069.0,578.0,372.0
hsa-let-7c-5p,24.0,10.0,1.0,0.0,18.0,2.0,10.0,12.0,28.0,3.0,13.0,1.0,2.0,8.0,7.0,5.0,8.0,4.0,8.0,0.0,0.0,1.0,18.0,3.0,1.0,0.0,1.0,74.0,5.0,4.0,0.0,4.0,3.0,1.0,0.0,14.0,11.0,59.0,0.0,0.0,13.0,4.0,4.0,0.0,0.0,79.0,0.0,4.0,4.0,12.0,0.0,0.0,0.0,17.0,46.0,29.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,7.0,0.0,0.0,32.0,4.0,8.0,0.0,0.0,70.0,10.0,4.0,7.0,21.0,5.0,222.0,56.0,21.0,11.0,8.0,0.0,134.0,0.0,0.0,8.0,17.0,1.0,4.0,30.0,8.0,14.0,1.0,19.0,6.0,4.0,9.0,0.0,0.0,18.0,0.0,14.0,40.0,0.0,31.0,46.0,19.0,0.0,5.0,5.0,4.0,3.0,0.0,1.0,13.0,18.0,4.0,0.0,5.0,1.0,4.0,0.0,1.0,0.0,49.0,5.0,28.0
hsa-let-7d-3p,11.0,0.0,0.0,0.0,9.0,19.0,6.0,0.0,12.0,3.0,5.0,0.0,2.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,6.0,0.0,23.0,2.0,0.0,5.0,0.0,24.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,9.0,30.0,0.0,1.0,45.0,0.0,12.0,5.0,28.0,0.0,9.0,0.0,2.0,38.0,27.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,0.0,11.0,7.0,6.0,0.0,2.0,2.0,0.0,28.0,13.0,9.0,38.0,23.0,2.0,171.0,0.0,0.0,15.0,6.0,1.0,0.0,36.0,0.0,20.0,32.0,94.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,7.0,0.0,4.0,10.0,137.0,27.0,0.0,3.0,15.0,1.0,4.0,2.0,4.0,10.0,4.0,7.0,0.0,13.0,11.0,3.0,7.0,27.0,0.0,28.0,0.0,6.0
hsa-let-7d-5p,33.0,36.0,22.0,34.0,11.0,58.0,86.0,60.0,8.0,42.0,31.0,7.0,35.0,26.0,25.0,21.0,7.0,38.0,21.0,8.0,11.0,14.0,29.0,18.0,19.0,22.0,25.0,31.0,6.0,5.0,0.0,2.0,17.0,65.0,38.0,27.0,11.0,361.0,0.0,17.0,65.0,12.0,51.0,3.0,46.0,227.0,4.0,15.0,11.0,45.0,5.0,14.0,5.0,19.0,51.0,251.0,10.0,9.0,61.0,4.0,0.0,20.0,2.0,17.0,3.0,15.0,32.0,6.0,30.0,0.0,13.0,182.0,58.0,49.0,16.0,36.0,7.0,242.0,200.0,92.0,108.0,49.0,48.0,344.0,0.0,9.0,27.0,47.0,8.0,32.0,289.0,126.0,105.0,51.0,154.0,35.0,5.0,18.0,0.0,30.0,40.0,3.0,44.0,12.0,0.0,17.0,286.0,53.0,10.0,29.0,25.0,9.0,3.0,3.0,2.0,47.0,70.0,16.0,30.0,43.0,13.0,14.0,25.0,47.0,5.0,219.0,19.0,25.0
hsa-let-7e-5p,36.0,1.0,1.0,16.0,10.0,19.0,15.0,11.0,7.0,29.0,18.0,3.0,5.0,53.0,2.0,11.0,13.0,0.0,19.0,0.0,0.0,11.0,16.0,13.0,5.0,10.0,8.0,32.0,6.0,12.0,0.0,17.0,0.0,53.0,2.0,1.0,0.0,302.0,0.0,1.0,10.0,5.0,20.0,2.0,0.0,47.0,0.0,9.0,0.0,10.0,0.0,10.0,12.0,9.0,46.0,40.0,5.0,0.0,1.0,4.0,0.0,12.0,1.0,12.0,9.0,2.0,32.0,4.0,14.0,8.0,32.0,64.0,41.0,4.0,4.0,2.0,0.0,200.0,93.0,86.0,69.0,29.0,39.0,188.0,0.0,1.0,30.0,15.0,6.0,10.0,189.0,136.0,19.0,17.0,33.0,29.0,5.0,9.0,0.0,42.0,1.0,0.0,12.0,16.0,0.0,5.0,47.0,12.0,4.0,10.0,14.0,2.0,0.0,13.0,1.0,13.0,5.0,17.0,17.0,38.0,2.0,0.0,2.0,0.0,5.0,158.0,0.0,17.0
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,1282.0,667.0,499.0,882.0,666.0,860.0,3631.0,735.0,816.0,1180.0,1149.0,320.0,998.0,1456.0,357.0,698.0,454.0,662.0,772.0,247.0,483.0,297.0,1516.0,1160.0,385.0,603.0,405.0,1128.0,290.0,329.0,98.0,327.0,455.0,691.0,881.0,1017.0,387.0,2968.0,289.0,477.0,652.0,327.0,1662.0,165.0,797.0,4846.0,117.0,494.0,355.0,1127.0,457.0,319.0,422.0,833.0,3291.0,4992.0,313.0,63.0,183.0,498.0,139.0,311.0,121.0,156.0,171.0,238.0,502.0,435.0,1649.0,236.0,606.0,1136.0,1424.0,575.0,188.0,548.0,195.0,13187.0,3339.0,1272.0,3469.0,1886.0,1570.0,5773.0,3.0,111.0,998.0,852.0,203.0,530.0,6030.0,4001.0,2237.0,1880.0,3472.0,892.0,367.0,742.0,46.0,883.0,1312.0,205.0,808.0,1068.0,489.0,1038.0,3679.0,864.0,180.0,389.0,397.0,253.0,109.0,436.0,310.0,610.0,1400.0,1116.0,1273.0,3306.0,221.0,390.0,215.0,527.0,427.0,4331.0,443.0,667.0
