miRNA,SRR22443559,SRR22443560,SRR22443561,SRR22443562,SRR22443563,SRR22443564,SRR22443565,SRR22443566,SRR22443567,SRR22443568,SRR22443569,SRR22443570,SRR22443571,SRR22443572,SRR22443573,SRR22443574,SRR22443575,SRR22443576,SRR22443577,SRR22443578,SRR22443579,SRR22443580,SRR22443581,SRR22443582,SRR22443583
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.27,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,170.24,165.7,763.17,541.73,283.17,679.94,680.96,142.85,224.87,53.53,672.58,61.48,732.33,424.45,356.11,352.33,226.73,676.14,449.52,551.53,647.87,688.1,249.75,480.2,474.76
hsa-let-7b-3p,0.0,0.72,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,7380.31,6483.87,38183.45,21025.96,14955.78,6485.64,9610.62,13574.25,12798.69,7824.6,20336.32,6717.47,11629.54,22043.06,11718.35,5538.01,8118.59,13800.97,7451.55,5214.69,13447.33,21997.02,8775.13,7453.93,16659.91
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,167.44,110.35,6.7,14.42,244.96,4.04,5.96,0.0,1.99,21.11,0.0,81.98,5.46,21.25,1.11,3.74,132.3,3.0,0.0,3.55,5.35,31.36,2.45,4.57,0.68
hsa-let-7d-3p,0.0,1.62,0.0,0.0,9.89,1.19,6.68,0.0,18.91,0.0,0.0,0.0,5.09,0.0,0.0,2.18,1.97,3.99,0.0,4.73,0.0,18.81,0.0,0.0,0.0
hsa-let-7d-5p,10.96,9.02,24.12,29.87,20.23,32.12,33.05,6.8,0.0,0.75,0.0,0.0,39.65,6.33,6.27,9.67,19.67,30.46,11.16,35.06,17.85,44.47,7.35,37.29,17.03
hsa-let-7e-5p,6.3,11.9,16.08,8.75,26.07,17.61,11.38,0.0,1.0,1.51,0.0,2.41,9.09,24.86,15.87,19.66,16.72,53.43,40.59,22.06,6.69,15.96,3.58,9.38,19.07
hsa-let-7f-2-3p,0.0,0.72,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,105.41,87.09,294.15,313.61,183.83,449.65,228.67,178.56,209.95,82.18,320.97,49.43,282.67,166.8,174.55,197.54,302.47,375.52,306.95,368.74,325.27,230.89,102.54,189.58,271.78
hsa-let-7g-5p,41.74,15.87,16.75,29.87,32.81,98.73,61.96,0.0,15.92,15.83,0.0,0.0,66.58,25.77,13.28,46.5,33.44,48.44,53.78,81.94,39.71,22.8,8.86,43.79,45.98
hsa-let-7i-5p,275.65,266.49,562.16,345.02,839.62,1071.78,1030.3,61.22,150.25,79.17,350.15,42.2,1024.09,294.27,363.12,342.03,695.94,1102.1,819.38,1160.96,984.75,319.25,194.9,704.42,905.93
hsa-miR-1-3p,2.1,0.0,9.38,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.12,0.62,0.0,3.5,0.0,3.94,11.15,0.0,0.19,0.0,5.11
hsa-miR-101-3p,782.88,1033.14,4526.78,3272.0,2601.55,2619.14,878.93,2703.97,2602.92,1814.03,1762.41,1756.52,821.46,2898.39,2672.84,2074.34,6534.91,6118.73,10617.46,4088.79,2616.47,3116.13,822.59,1512.29,4186.69
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.34
hsa-miR-10399-5p,0.7,0.0,0.0,11.84,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,0.0,0.0,0.49,5.99,1.01,1.58,0.0,0.0,0.0,0.0,2.04
hsa-miR-103a-3p,42150.11,28232.38,29152.68,32650.46,60795.77,151872.77,94197.0,4947.07,9849.51,6453.15,5504.62,3317.75,108715.99,26288.94,43690.19,85041.87,49579.64,83290.18,65373.96,139249.99,134011.52,42514.66,21301.65,103497.16,51898.52
hsa-miR-105-5p,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,2.8,0.0,0.0,0.0,0.0,6.66,8.85,0.0,0.0,0.0,0.0,0.0,1.46,0.0,0.0,4.06,0.0,2.0,0.0,2.36,0.45,0.0,0.0,17.32,3.75
hsa-miR-106b-5p,1.4,1.62,0.67,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.49,0.0,6.09,0.79,3.57,0.0,0.0,0.0,0.0
hsa-miR-107,451.02,249.18,299.51,265.2,582.97,2138.09,1228.44,74.83,18.91,157.58,0.0,15.67,1405.35,303.76,339.5,721.2,743.64,978.26,866.06,2191.14,1535.79,545.58,158.15,1157.92,512.57
hsa-miR-10a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,2.18,0.0,0.0,0.0,0.39,0.0,0.0,0.75,3.13,5.11
hsa-miR-10a-5p,86.29,28.49,164.16,66.94,149.23,276.69,176.65,85.03,74.63,73.89,86.08,126.59,145.88,75.04,171.23,149.79,204.11,209.73,189.24,210.76,136.98,53.59,45.43,124.14,145.08
hsa-miR-10b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,1.7
hsa-miR-10b-5p,0.0,0.0,0.0,0.0,3.15,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,6.6,1.58,0.45,0.0,0.19,0.0,0.0
hsa-miR-11400,0.0,0.0,0.0,0.0,1.35,3.33,0.0,0.0,0.0,0.0,0.0,0.0,5.82,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,2.41,0.0
hsa-miR-11401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,0.0,0.0,0.0,0.0
hsa-miR-1179,2.1,3.97,0.0,10.81,21.57,6.66,6.5,0.0,37.81,0.0,0.0,0.0,0.0,8.59,7.38,2.81,16.72,20.97,11.67,6.7,0.0,0.0,3.77,6.98,0.68
hsa-miR-1185-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12135,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,10.49,12.08,19.43,6.18,21.13,26.65,16.62,1.7,0.0,0.0,30.64,27.73,20.01,4.97,33.21,40.26,7.38,15.48,5.07,11.03,37.03,16.53,8.29,19.25,22.48
hsa-miR-122-5p,0.0,0.9,12.06,0.0,0.0,1.67,24.38,0.0,0.0,20.36,0.0,0.0,0.0,2.71,0.37,0.0,0.49,5.49,0.0,0.79,8.03,18.24,1.13,0.24,13.96
hsa-miR-1226-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0
hsa-miR-1227-5p,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1229-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0,0.0,0.0
hsa-miR-1229-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,1.51,0.0,0.0
hsa-miR-1233-5p,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-124-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1244,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0
hsa-miR-1246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1255b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.94,0.0,0.0,0.0,4.73,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0
hsa-miR-125a-5p,39.65,50.85,227.14,144.7,136.64,87.55,63.58,5.1,62.69,61.07,202.79,90.42,58.57,106.68,113.29,91.44,125.42,139.32,213.6,91.4,60.24,107.18,32.8,55.33,54.83
hsa-miR-125b-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125b-5p,0.93,0.9,5.36,9.27,7.64,8.56,4.15,0.0,1.0,2.26,0.0,2.41,0.36,4.07,1.11,4.68,7.38,4.99,14.71,4.33,0.45,3.42,1.13,0.48,5.11
hsa-miR-126-3p,19.36,12.98,28.81,27.81,30.56,51.15,22.4,0.0,16.92,0.0,0.0,0.0,40.75,20.79,3.69,19.97,31.97,40.45,26.38,68.55,41.94,56.44,11.69,29.59,54.49
