miRNA,SRR22564865,SRR22564866,SRR22564867,SRR22564868,SRR22564869,SRR22564870,SRR22564871,SRR22564872,SRR22564873,SRR22564874,SRR22564875,SRR22564876,SRR22564877,SRR22564878,SRR22564879,SRR22564880,SRR22564881,SRR22564882
hsa-let-7a-3p,413.0,585.0,189.0,82.0,38.0,4.0,67.0,516.0,336.0,47.0,934.0,316.0,14.0,747.0,165.0,341.0,710.0,468.0
hsa-let-7a-5p,85238.0,10055.0,3719.0,14174.0,4597.0,910.0,12289.0,4278.0,16270.0,1799.0,17867.0,3892.0,1397.0,11759.0,6509.0,8116.0,15266.0,13230.0
hsa-let-7b-3p,232.0,194.0,111.0,16.0,47.0,3.0,409.0,4.0,24.0,35.0,26.0,47.0,8.0,73.0,28.0,0.0,157.0,141.0
hsa-let-7b-5p,111936.0,78779.0,49730.0,22608.0,36442.0,125.0,185647.0,65785.0,183760.0,19589.0,210983.0,119239.0,533.0,71389.0,40889.0,70837.0,90818.0,101523.0
hsa-let-7c-3p,53.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,1654.0,758.0,221.0,770.0,226.0,18.0,2281.0,177.0,824.0,286.0,810.0,797.0,45.0,353.0,949.0,258.0,779.0,533.0
hsa-let-7d-3p,10240.0,9058.0,4050.0,814.0,2383.0,10.0,13321.0,1140.0,1169.0,2239.0,1778.0,3624.0,40.0,1317.0,1164.0,2187.0,4404.0,7707.0
hsa-let-7d-5p,19452.0,11351.0,2256.0,2521.0,1027.0,71.0,1625.0,683.0,3522.0,956.0,3361.0,487.0,136.0,3725.0,1853.0,540.0,2908.0,3176.0
hsa-let-7e-3p,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,1281.0,599.0,154.0,170.0,88.0,9.0,431.0,143.0,235.0,89.0,347.0,149.0,9.0,216.0,306.0,151.0,417.0,292.0
