miRNA,SRR22777518,SRR22777519,SRR22777520,SRR22777521,SRR22777522,SRR22777523,SRR22777524,SRR22777525,SRR22777526,SRR22777527,SRR22777528,SRR22777529,SRR22777530,SRR22777531,SRR22777532,SRR22777533,SRR22777534,SRR22777535,SRR22777536,SRR22777537,SRR22777538,SRR22777539,SRR22777540,SRR22777541,SRR22777542,SRR22777543,SRR22777544,SRR22777545,SRR22777546
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0
hsa-let-7a-3p,3.7,5.95,4.37,2.64,5.31,4.26,4.27,4.3,5.3,2.92,1.34,9.35,12.89,1.62,1.31,2.23,1.93,5.15,4.49,5.88,2.69,9.96,21.66,7.58,8.03,5.15,12.6,8.23,9.5
hsa-let-7a-5p,12812.69,17402.11,24780.48,27000.31,30184.46,33799.61,18287.02,22604.83,20254.19,13940.67,23094.09,16026.23,11125.66,5028.64,16500.29,59153.45,38514.37,34635.17,24070.72,6762.73,15188.91,10154.01,6181.47,35892.16,27492.62,8005.39,32507.89,7046.06,43872.41
hsa-let-7b-3p,0.22,0.0,0.07,0.14,0.15,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.72,0.0,0.0,0.0,0.0,0.0,1.7,1.96,0.0,0.24,0.0,0.2,0.99,0.0,0.92,0.0,0.68
hsa-let-7b-5p,2995.6,3027.74,6384.43,8038.5,7875.54,12433.8,5412.89,5895.5,4120.46,4090.46,7401.23,14927.72,17048.14,10566.33,6770.93,31359.29,12352.22,11182.15,7706.22,9465.8,5851.56,10683.91,12476.1,13577.78,15643.94,14264.38,15526.06,8523.47,11905.9
hsa-let-7c-3p,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,100.15,85.06,206.09,328.29,288.48,306.97,126.89,256.61,117.3,97.0,225.42,578.56,897.94,393.9,212.13,816.88,446.32,279.21,524.58,443.35,154.19,236.95,385.07,591.73,788.17,396.76,753.39,266.16,458.34
hsa-let-7d-3p,10.91,62.93,71.49,39.66,71.41,35.18,26.57,112.16,41.49,45.13,71.47,55.2,48.19,54.94,56.68,134.97,81.52,54.76,129.29,80.7,57.44,52.78,46.4,76.71,122.47,43.86,70.37,103.09,66.68
hsa-let-7d-5p,800.08,2864.62,3700.78,2487.17,3477.68,5070.31,1882.88,3426.64,3312.28,2031.64,3513.34,1147.59,856.52,497.33,2137.94,4225.57,4954.37,5008.48,2723.83,555.73,1613.86,1500.98,488.14,3548.34,2971.93,955.76,2802.44,1064.85,4061.12
hsa-let-7e-3p,0.07,0.39,0.42,0.07,0.73,0.0,0.0,0.0,0.19,0.07,0.18,1.26,1.43,0.0,0.0,0.0,0.67,0.0,0.77,0.0,0.08,0.47,0.0,0.61,1.76,0.0,0.82,0.0,0.38
hsa-let-7e-5p,426.17,277.96,1635.7,390.87,573.54,1195.09,326.16,613.53,573.52,113.11,536.81,330.09,489.61,158.77,323.83,1260.61,1176.11,275.84,1471.69,234.57,276.97,412.39,167.05,592.76,912.51,239.46,533.88,108.78,440.32
hsa-let-7f-1-3p,0.0,0.17,0.07,0.27,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,1.66,0.0,0.14,0.0,0.1,0.0,0.0,0.0,0.0,0.08
hsa-let-7f-2-3p,0.29,0.5,0.07,0.07,0.29,0.19,0.32,0.0,0.12,0.14,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.1,0.0,0.62,0.72,0.0,0.38
hsa-let-7f-5p,10927.63,43220.26,28275.1,34198.83,47556.99,43137.65,18094.11,31528.13,38614.56,19327.37,24326.3,6624.87,3994.86,2020.43,15337.7,46513.32,37322.97,39620.69,21497.39,2528.84,15066.59,8484.3,1987.22,36922.21,25482.45,3966.77,30062.22,3671.36,55802.26
hsa-let-7g-3p,0.0,0.0,0.07,0.0,0.0,0.0,0.08,0.0,0.12,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.2,0.0,0.0
hsa-let-7g-5p,1291.62,8525.99,5428.99,7055.19,9224.97,6786.77,2427.07,7606.38,10189.46,4554.72,3059.46,1386.71,1025.45,410.06,1934.1,4886.15,5286.82,6329.8,3133.52,591.48,3115.45,4070.72,415.03,7786.84,7154.52,948.56,6447.19,885.61,10057.33
hsa-let-7i-3p,0.04,0.17,0.14,0.0,0.0,0.0,0.16,0.15,0.06,0.41,0.36,1.26,0.0,0.0,0.09,0.0,0.0,0.06,0.0,2.87,0.0,0.14,0.0,0.0,0.22,0.21,0.61,0.0,0.38
