miRNA,SRR22806505,SRR22806506,SRR22806507,SRR22806508,SRR22806509,SRR22806510,SRR22806511,SRR22806512,SRR22806513,SRR22806514,SRR22806515,SRR22806516,SRR22806517,SRR22806518,SRR22806519,SRR22806520,SRR22806521,SRR22806522,SRR22806523,SRR22806524,SRR22806525,SRR22806526,SRR22806527,SRR22806528
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0
hsa-let-7a-3p,19.02,23.06,8.31,78.88,0.88,0.0,9.23,47.41,1.05,33.96,6.68,7.99,39.69,16.19,74.62,11.24,59.16,38.92,12.05,63.27,24.34,6.36,13.73,44.79
hsa-let-7a-5p,3914.02,3274.33,3632.02,10306.22,1149.9,662.96,3297.45,8557.37,811.53,8483.44,10160.83,2637.03,6233.02,8266.49,11439.09,2652.36,6863.75,8219.62,5317.19,10222.04,7721.68,3856.15,2591.58,7300.85
hsa-let-7b-3p,29.08,21.45,8.8,43.76,7.04,0.0,14.66,9.93,3.15,11.72,6.68,4.26,18.94,5.68,61.77,5.89,41.06,35.99,6.03,54.93,8.69,13.92,6.86,30.16
hsa-let-7b-5p,4903.65,8793.23,4562.01,21092.13,1444.63,775.75,5664.25,14181.77,1490.95,16531.47,30656.53,4062.13,19096.88,29727.91,21445.99,3779.9,15971.13,11062.72,6418.57,21991.27,13692.58,3661.63,7757.7,14724.11
hsa-let-7c-3p,3.23,0.0,4.4,6.27,0.0,0.0,0.0,0.45,0.0,14.96,3.34,3.2,0.0,0.57,4.75,0.0,0.0,4.6,0.32,10.62,3.3,4.77,8.76,2.09
hsa-let-7c-5p,1319.15,790.02,562.98,3639.71,200.59,194.93,1210.28,1671.02,268.41,3549.19,3749.97,562.26,2358.98,2633.76,2205.31,478.64,1492.63,1387.65,1858.57,3595.85,3027.78,604.24,757.29,1500.36
hsa-let-7d-3p,199.58,525.07,258.52,591.87,135.49,69.27,119.45,191.44,13.63,151.61,210.32,31.44,191.69,46.29,494.88,96.91,848.31,329.76,408.58,938.6,514.98,253.39,336.05,421.0
hsa-let-7d-5p,107.33,41.3,65.49,377.81,35.19,15.94,93.93,233.88,16.78,177.08,157.08,73.55,174.1,116.15,255.36,86.2,142.57,179.94,125.3,416.5,305.47,111.78,27.22,167.2
hsa-let-7e-3p,0.0,0.0,0.0,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,1.76,0.0,0.0,1.26,0.0,4.1,0.35,0.4,0.0,11.64
hsa-let-7e-5p,141.79,130.33,135.37,486.23,53.67,23.91,171.04,405.45,42.99,430.96,637.65,148.16,286.87,389.92,552.78,149.91,284.17,377.04,272.81,538.64,276.44,171.84,136.08,343.66
hsa-let-7f-1-3p,1.08,0.0,0.0,3.48,4.4,0.0,0.54,0.0,0.0,0.4,0.95,2.66,0.0,0.0,2.46,1.07,1.62,1.26,2.54,12.44,0.52,0.0,0.0,5.97
