miRNA,SRR22806505,SRR22806506,SRR22806507,SRR22806508,SRR22806509,SRR22806510,SRR22806511,SRR22806512,SRR22806513,SRR22806514,SRR22806515,SRR22806516,SRR22806517,SRR22806518,SRR22806519,SRR22806520,SRR22806521,SRR22806522,SRR22806523,SRR22806524,SRR22806525,SRR22806526,SRR22806527,SRR22806528
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-let-7a-3p,53.0,43.0,17.0,566.0,1.0,0.0,17.0,105.0,1.0,84.0,28.0,15.0,88.0,57.0,424.0,21.0,183.0,93.0,38.0,417.0,140.0,16.0,58.0,150.0
hsa-let-7a-5p,10904.0,6105.0,7432.0,73953.0,1307.0,2163.0,6073.0,18953.0,774.0,20984.0,42562.0,4948.0,13819.0,29108.0,64999.0,4954.0,21231.0,19642.0,16762.0,67370.0,44413.0,9694.0,10951.0,24452.0
hsa-let-7b-3p,81.0,40.0,18.0,314.0,8.0,0.0,27.0,22.0,3.0,29.0,28.0,8.0,42.0,20.0,351.0,11.0,127.0,86.0,19.0,362.0,50.0,35.0,29.0,101.0
hsa-let-7b-5p,13661.0,16395.0,9335.0,151348.0,1642.0,2531.0,10432.0,31410.0,1422.0,40891.0,128415.0,7622.0,42339.0,104678.0,121860.0,7060.0,49402.0,26436.0,20234.0,144937.0,78756.0,9205.0,32781.0,49314.0
hsa-let-7c-3p,9.0,0.0,9.0,45.0,0.0,0.0,0.0,1.0,0.0,37.0,14.0,6.0,0.0,2.0,27.0,0.0,0.0,11.0,1.0,70.0,19.0,12.0,37.0,7.0
hsa-let-7c-5p,3675.0,1473.0,1152.0,26117.0,228.0,636.0,2229.0,3701.0,256.0,8779.0,15708.0,1055.0,5230.0,9274.0,12531.0,894.0,4617.0,3316.0,5859.0,23699.0,17415.0,1519.0,3200.0,5025.0
hsa-let-7d-3p,556.0,979.0,529.0,4247.0,154.0,226.0,220.0,424.0,13.0,375.0,881.0,59.0,425.0,163.0,2812.0,181.0,2624.0,788.0,1288.0,6186.0,2962.0,637.0,1420.0,1410.0
hsa-let-7d-5p,299.0,77.0,134.0,2711.0,40.0,52.0,173.0,518.0,16.0,438.0,658.0,138.0,386.0,409.0,1451.0,161.0,441.0,430.0,395.0,2745.0,1757.0,281.0,115.0,560.0
hsa-let-7e-3p,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,27.0,2.0,1.0,0.0,39.0
hsa-let-7e-5p,395.0,243.0,277.0,3489.0,61.0,78.0,315.0,898.0,41.0,1066.0,2671.0,278.0,636.0,1373.0,3141.0,280.0,879.0,901.0,860.0,3550.0,1590.0,432.0,575.0,1151.0
hsa-let-7f-1-3p,3.0,0.0,0.0,25.0,5.0,0.0,1.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,14.0,2.0,5.0,3.0,8.0,82.0,3.0,0.0,0.0,20.0
hsa-let-7f-2-3p,1.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,1.0,27.0,0.0,2.0,9.0,0.0,91.0,14.0,3.0,0.0,1.0
hsa-let-7f-5p,17494.0,11669.0,11213.0,107160.0,2176.0,4341.0,11145.0,20126.0,1314.0,38060.0,50052.0,7982.0,24198.0,25491.0,81224.0,9802.0,28303.0,40610.0,34592.0,92529.0,53194.0,21504.0,17353.0,39653.0
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-let-7g-5p,1455.0,856.0,1287.0,14131.0,179.0,245.0,732.0,1899.0,80.0,1916.0,4387.0,554.0,2272.0,2950.0,13365.0,765.0,3919.0,2804.0,2189.0,10116.0,9439.0,1137.0,1884.0,4607.0
