miRNA,SRR22891202,SRR22891203,SRR22891204,SRR22891205
hsa-let-7a-2-3p,0.47,0.39,0.73,0.18
hsa-let-7a-3p,0.75,0.47,0.44,0.53
hsa-let-7a-5p,757.74,863.43,457.49,376.15
hsa-let-7b-3p,0.07,0.0,0.0,0.18
hsa-let-7b-5p,127.33,51.69,57.2,48.53
hsa-let-7c-3p,0.0,0.0,0.15,0.0
hsa-let-7c-5p,80.07,45.34,58.38,42.87
hsa-let-7d-3p,1.02,3.41,2.64,1.68
hsa-let-7d-5p,127.4,46.97,34.62,33.04
hsa-let-7e-3p,0.88,1.01,0.44,0.27
hsa-let-7e-5p,36.14,76.73,17.89,21.26
hsa-let-7f-1-3p,0.0,0.08,0.0,0.18
hsa-let-7f-2-3p,0.0,0.0,0.29,0.0
hsa-let-7f-5p,651.97,252.88,226.91,131.52
hsa-let-7g-3p,0.0,0.0,0.29,0.0
hsa-let-7g-5p,305.64,119.89,242.9,120.27
hsa-let-7i-3p,0.61,0.39,1.17,0.35
hsa-let-7i-5p,488.7,251.49,315.94,151.36
hsa-miR-1-3p,2.78,0.85,0.88,2.04
hsa-miR-100-3p,0.0,0.08,0.0,0.0
hsa-miR-100-5p,830.62,742.53,516.6,537.69
hsa-miR-101-3p,0.07,2.56,1.47,1.06
hsa-miR-101-5p,0.0,0.0,0.15,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.09
hsa-miR-10394-3p,0.0,0.0,0.73,0.0
hsa-miR-10394-5p,0.0,0.23,0.0,0.09
hsa-miR-10395-3p,0.07,0.08,0.0,0.0
hsa-miR-10396a-3p,0.81,0.78,0.29,3.54
hsa-miR-10396a-5p,0.0,2.25,0.0,3.37
hsa-miR-10396b-3p,0.61,1.94,8.36,1.86
hsa-miR-10398-3p,0.0,0.08,0.0,0.0
hsa-miR-10399-3p,0.07,0.0,0.0,0.18
hsa-miR-103a-3p,2.24,1.4,4.25,2.75
hsa-miR-10401-3p,0.14,1.16,0.15,2.13
hsa-miR-10401-5p,0.0,0.16,0.29,0.09
hsa-miR-10527-5p,0.0,0.16,0.0,0.09
hsa-miR-106a-5p,0.07,0.0,0.0,0.0
