miRNA,SRR23107340,SRR23107341,SRR23107342,SRR23107343,SRR23107344,SRR23107345,SRR23107346,SRR23107347,SRR23107348,SRR23107349,SRR23107350,SRR23107351,SRR23107352,SRR23107353,SRR23107354,SRR23107355,SRR23107356,SRR23107357,SRR23107358,SRR23107359,SRR23107360,SRR23107361,SRR23107362,SRR23107363,SRR23107364,SRR23107365,SRR23107366,SRR23107367,SRR23107368,SRR23107369,SRR23107370,SRR23107371,SRR23107372,SRR23107373,SRR23107374,SRR23107375,SRR23107376
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
hsa-let-7a-3p,0.0,0.42,0.0,3.17,0.0,0.89,0.0,0.0,13.08,0.18,3.96,13.47,31.05,32.25,43.2,1.67,13.58,0.0,16.64,16.51,34.5,1.29,0.07,0.0,0.0,9.0,99.82,3.42,0.14,45.81,38.36,28.27,15.29,26.45,91.3,40.68,11.65
hsa-let-7a-5p,21.01,58.96,43.96,348.72,4.6,566.79,95.12,56.96,2105.78,121.49,181.5,39.17,25411.53,3266.75,2562.55,1470.44,3637.14,91.33,1848.87,17441.06,1426.42,64.2,7.73,18.99,59.61,230.62,9687.06,52.77,29.68,4839.16,4814.57,5942.35,1513.08,9417.28,9471.75,2754.02,19097.1
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.98,0.18,0.82,0.0,41.43,8.54,36.91,0.96,7.96,0.28,5.64,14.11,7.64,0.43,0.07,0.0,0.19,0.96,38.17,0.0,0.0,19.31,11.5,21.44,9.28,45.47,87.92,16.59,43.96
hsa-let-7b-5p,447.37,1225.31,271.41,3306.29,17.82,542.0,787.96,202.18,5941.31,36.94,1064.74,299.36,4192.04,2848.8,4145.67,2517.44,11760.05,224.69,4577.5,4720.85,6725.96,319.49,128.06,298.15,838.17,1811.05,6621.13,675.79,70.89,11728.1,13490.68,7182.4,2495.28,6866.84,10352.45,6923.28,6554.82
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,1.02,0.2,1.2,0.48,0.0,0.0,0.13,3.61,0.0,0.0,0.0,0.0,1.53,0.0,2.29,0.0,0.14,0.0,0.9,0.31,0.0,1.2,1.28,0.0,1.33
hsa-let-7c-5p,5.79,8.02,6.98,27.05,0.77,5.31,2.28,5.65,238.04,48.84,5.6,2.24,257.36,105.39,217.1,266.44,201.65,0.71,54.74,2432.21,40.97,8.25,3.09,2.81,23.31,16.86,1080.86,1.99,38.04,118.37,684.23,117.66,20.53,337.65,1646.2,137.73,281.64
hsa-let-7d-3p,7.93,65.15,5.93,445.31,2.49,7.08,0.09,0.33,863.27,3.5,27.63,41.53,1392.26,399.87,753.65,116.73,791.53,3.56,517.5,433.43,426.73,23.04,2.35,30.94,29.42,121.63,1972.76,12.7,1.87,2544.61,1185.82,1317.62,240.14,2160.44,3169.61,443.02,2380.57
hsa-let-7d-5p,7.07,120.17,38.2,160.41,2.3,64.65,0.61,1.41,650.24,20.31,37.07,22.45,3113.13,1693.11,1120.9,161.54,765.95,3.28,701.04,1462.78,445.35,22.4,1.68,13.36,45.47,172.39,1828.94,56.31,6.05,1063.68,1162.44,1835.58,463.09,1325.78,1607.95,573.8,1875.97
hsa-let-7e-3p,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,2.82,0.0,0.12,0.0,1.02,0.2,0.0,1.55,0.11,0.14,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.29,0.0,0.13,0.1,0.09,1.31,1.87,0.45,0.0
hsa-let-7e-5p,7.07,8.58,10.64,17.12,0.0,2.95,0.97,0.22,105.17,3.85,2.33,10.55,167.36,122.17,99.27,101.68,75.46,1.42,28.58,61.01,29.01,2.04,0.13,0.7,15.48,14.56,156.13,1.32,1.01,107.94,45.08,86.48,10.57,89.63,88.27,59.29,104.17
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.12,0.0,5.29,2.21,4.69,0.6,0.96,0.0,1.61,1.53,1.37,0.0,0.0,0.0,0.0,1.53,7.54,0.0,0.0,2.28,1.68,2.69,4.3,3.28,8.86,2.91,1.64
hsa-let-7f-2-3p,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.82,2.69,0.2,1.21,0.7,0.0,0.21,0.0,0.13,0.11,1.18,0.0,0.0,0.0,0.0,1.34,1.72,0.88,0.0,1.92,1.03,0.0,2.32,0.44,1.63,0.9,0.2
