miRNA,SRR23107340,SRR23107341,SRR23107342,SRR23107343,SRR23107344,SRR23107345,SRR23107346,SRR23107347,SRR23107348,SRR23107349,SRR23107350,SRR23107351,SRR23107352,SRR23107353,SRR23107354,SRR23107355,SRR23107356,SRR23107357,SRR23107358,SRR23107359,SRR23107360,SRR23107361,SRR23107362,SRR23107363,SRR23107364,SRR23107365,SRR23107366,SRR23107367,SRR23107368,SRR23107369,SRR23107370,SRR23107371,SRR23107372,SRR23107373,SRR23107374,SRR23107375,SRR23107376
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
hsa-let-7a-3p,0.0,3.0,0.0,15.0,0.0,3.0,0.0,0.0,102.0,1.0,34.0,120.0,305.0,321.0,433.0,14.0,128.0,0.0,124.0,151.0,176.0,12.0,1.0,0.0,0.0,47.0,1046.0,31.0,1.0,382.0,297.0,273.0,178.0,242.0,783.0,363.0,114.0
hsa-let-7a-5p,98.0,419.0,252.0,1650.0,24.0,1920.0,1083.0,524.0,16419.0,694.0,1557.0,349.0,249615.0,32515.0,25685.0,12307.0,34270.0,641.0,13780.0,159509.0,7277.0,599.0,115.0,27.0,312.0,1204.0,101508.0,478.0,206.0,40349.0,37272.0,57375.0,17611.0,86155.0,81231.0,24574.0,186810.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,1.0,7.0,0.0,407.0,85.0,370.0,8.0,75.0,2.0,42.0,129.0,39.0,4.0,1.0,0.0,1.0,5.0,400.0,0.0,0.0,161.0,89.0,207.0,108.0,416.0,754.0,148.0,430.0
hsa-let-7b-5p,2087.0,8708.0,1556.0,15644.0,93.0,1836.0,8971.0,1860.0,46325.0,211.0,9134.0,2667.0,41178.0,28355.0,41553.0,21070.0,110806.0,1577.0,34117.0,43175.0,34313.0,2981.0,1905.0,424.0,4387.0,9455.0,69381.0,6121.0,492.0,97789.0,104438.0,69348.0,29043.0,62822.0,88784.0,61776.0,64120.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,10.0,2.0,12.0,4.0,0.0,0.0,1.0,33.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,0.0,1.0,0.0,7.0,3.0,0.0,11.0,11.0,0.0,13.0
hsa-let-7c-5p,27.0,57.0,40.0,128.0,4.0,18.0,26.0,52.0,1856.0,279.0,48.0,20.0,2528.0,1049.0,2176.0,2230.0,1900.0,5.0,408.0,22244.0,209.0,77.0,46.0,4.0,122.0,88.0,11326.0,18.0,264.0,987.0,5297.0,1136.0,239.0,3089.0,14118.0,1229.0,2755.0
hsa-let-7d-3p,37.0,463.0,34.0,2107.0,13.0,24.0,1.0,3.0,6731.0,20.0,237.0,370.0,13676.0,3980.0,7554.0,977.0,7458.0,25.0,3857.0,3964.0,2177.0,215.0,35.0,44.0,154.0,635.0,20672.0,115.0,13.0,21217.0,9180.0,12722.0,2795.0,19765.0,27183.0,3953.0,23287.0
hsa-let-7d-5p,33.0,854.0,219.0,759.0,12.0,219.0,7.0,13.0,5070.0,116.0,318.0,200.0,30580.0,16852.0,11235.0,1352.0,7217.0,23.0,5225.0,13378.0,2272.0,209.0,25.0,19.0,238.0,900.0,19165.0,510.0,42.0,8869.0,8999.0,17723.0,5390.0,12129.0,13790.0,5120.0,18351.0
hsa-let-7e-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,10.0,2.0,0.0,13.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,1.0,1.0,1.0,12.0,16.0,4.0,0.0
