miRNA,SRR23352407,SRR23352408,SRR23352409,SRR23352410,SRR23352411,SRR23352412,SRR23352413,SRR23352414
hsa-let-7a-2-3p,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,1.0,1.0,19.0,8.0,9.0,4.0,1.0,33.0
hsa-let-7a-5p,5076.0,29966.0,17617.0,10245.0,20723.0,11198.0,2531.0,1189.0
hsa-let-7b-3p,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
hsa-let-7b-5p,11695.0,13362.0,9872.0,5700.0,10663.0,6121.0,1193.0,486.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0
hsa-let-7c-5p,3479.0,9026.0,11335.0,11605.0,16437.0,11611.0,2036.0,116.0
hsa-let-7d-3p,142.0,455.0,101.0,33.0,461.0,267.0,51.0,78.0
hsa-let-7d-5p,879.0,2920.0,3320.0,1120.0,5335.0,1690.0,413.0,97.0
hsa-let-7e-3p,0.0,3.0,0.0,1.0,0.0,29.0,10.0,0.0
hsa-let-7e-5p,458.0,2612.0,2675.0,1391.0,3229.0,2043.0,393.0,38.0
hsa-let-7f-1-3p,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0
hsa-let-7f-2-3p,13.0,4.0,0.0,1.0,0.0,1.0,0.0,2.0
hsa-let-7f-5p,11529.0,80160.0,61022.0,43130.0,79043.0,45238.0,9232.0,2222.0
hsa-let-7g-3p,0.0,2.0,226.0,0.0,3.0,1.0,0.0,0.0
hsa-let-7g-5p,5131.0,46503.0,37880.0,20450.0,42838.0,19500.0,4150.0,1177.0
hsa-let-7i-3p,21.0,1.0,1.0,260.0,22.0,1.0,0.0,0.0
hsa-let-7i-5p,11925.0,72298.0,57786.0,33671.0,68207.0,37582.0,8309.0,3011.0
hsa-miR-1-3p,869.0,3762.0,3188.0,2161.0,4154.0,2250.0,171.0,67.0
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.0,28.0,2.0,0.0
hsa-miR-100-5p,1560.0,7479.0,8715.0,4475.0,6738.0,5272.0,5785.0,236.0
hsa-miR-101-3p,3004.0,4144.0,3076.0,2880.0,4608.0,2224.0,482.0,1307.0
hsa-miR-10395-3p,21.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
hsa-miR-10395-5p,0.0,2.0,111.0,0.0,112.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
hsa-miR-103a-3p,730.0,5761.0,100.0,3221.0,6711.0,571.0,38.0,81.0
hsa-miR-10526-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,10.0,14.0,1.0,7.0,11.0,8.0,2.0
hsa-miR-106b-3p,378.0,1239.0,271.0,1472.0,756.0,638.0,139.0,52.0
hsa-miR-106b-5p,82.0,625.0,275.0,548.0,1059.0,325.0,190.0,36.0
hsa-miR-107,2.0,15.0,74.0,12.0,160.0,129.0,12.0,1.0
hsa-miR-10a-3p,0.0,122.0,11.0,193.0,526.0,245.0,37.0,2.0
hsa-miR-10a-5p,5212.0,16330.0,28064.0,17938.0,25244.0,18882.0,4607.0,423.0
hsa-miR-10b-3p,0.0,6.0,0.0,2.0,0.0,1.0,23.0,0.0
hsa-miR-10b-5p,2435.0,6273.0,8654.0,6468.0,10988.0,7450.0,1978.0,837.0
hsa-miR-11400,16.0,26.0,1.0,0.0,1.0,1.0,0.0,0.0
hsa-miR-11401,30.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0
hsa-miR-1180-3p,41.0,5.0,0.0,2.0,6.0,2.0,15.0,10.0
hsa-miR-1185-1-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-2-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1185-5p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1197,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-12136,60.0,0.0,0.0,103.0,3.0,0.0,0.0,0.0
hsa-miR-122-5p,185520.0,18472.0,17936.0,8130.0,11702.0,3948.0,524.0,2227.0
hsa-miR-1226-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1229-3p,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
hsa-miR-122b-5p,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1236-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-1237-5p,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-124-3p,126.0,332.0,542.0,362.0,579.0,355.0,22.0,0.0
hsa-miR-124-5p,1.0,14.0,6.0,2.0,177.0,9.0,1.0,2.0
hsa-miR-1246,121.0,104.0,11.0,24.0,31.0,50.0,16.0,4.0
hsa-miR-1247-5p,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0
hsa-miR-1248,0.0,0.0,1.0,0.0,2.0,0.0,9.0,0.0
hsa-miR-1249-3p,0.0,6.0,3.0,3.0,4.0,3.0,1.0,0.0
hsa-miR-1250-5p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1251-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1251-5p,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
hsa-miR-1255a,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
hsa-miR-1255b-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-125a-3p,88.0,0.0,1.0,1.0,20.0,1.0,0.0,0.0
hsa-miR-125a-5p,288.0,1379.0,1450.0,986.0,811.0,839.0,183.0,35.0
hsa-miR-125b-1-3p,4.0,184.0,407.0,9.0,455.0,33.0,7.0,3.0
hsa-miR-125b-2-3p,0.0,3.0,0.0,0.0,4.0,7.0,0.0,0.0
hsa-miR-125b-5p,709.0,3071.0,4187.0,2901.0,2528.0,2023.0,285.0,27.0
hsa-miR-126-3p,2534.0,13113.0,8357.0,5142.0,15405.0,3789.0,825.0,506.0
hsa-miR-126-5p,11.0,235.0,40.0,32.0,296.0,81.0,11.0,37.0
hsa-miR-1260a,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-1260b,19.0,37.0,5.0,4.0,4.0,44.0,6.0,0.0
hsa-miR-1268a,0.0,22.0,226.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1268b,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1269a,0.0,2.0,0.0,1.0,2.0,3.0,2.0,0.0
hsa-miR-1269b,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-127-3p,829.0,8298.0,7413.0,3371.0,8717.0,4341.0,270.0,45.0
hsa-miR-127-5p,57.0,28.0,20.0,54.0,38.0,196.0,11.0,3.0
hsa-miR-1273h-3p,51.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
hsa-miR-1273h-5p,0.0,4.0,0.0,1.0,143.0,1.0,9.0,1.0
hsa-miR-1275,20.0,190.0,0.0,10.0,1.0,2.0,0.0,0.0
hsa-miR-1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-128-1-5p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-3p,1830.0,13241.0,9218.0,5424.0,13293.0,4182.0,480.0,152.0
hsa-miR-1284,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-1285-3p,70.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0
hsa-miR-1285-5p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1287-5p,31.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
hsa-miR-129-1-3p,40.0,312.0,33.0,279.0,30.0,12.0,1.0,1.0
hsa-miR-129-2-3p,3.0,168.0,187.0,181.0,253.0,42.0,22.0,3.0
hsa-miR-129-5p,240.0,1224.0,626.0,208.0,1637.0,921.0,50.0,11.0
hsa-miR-1291,1.0,105.0,1.0,3.0,17.0,32.0,81.0,47.0
hsa-miR-1292-5p,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
hsa-miR-1294,46.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
hsa-miR-1296-5p,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
