miRNA,SRR23949263,SRR23949264,SRR23949265,SRR23949266,SRR23949267,SRR23949268,SRR23949269,SRR23949270,SRR23949271,SRR23949272,SRR23949273,SRR23949274,SRR23949275,SRR23949276,SRR23949277,SRR23949278,SRR23949279,SRR23949280,SRR23949281,SRR23949282,SRR23949283,SRR23949284,SRR23949285,SRR23949286,SRR23949287,SRR23949288,SRR23949289,SRR23949290,SRR23949291,SRR23949292,SRR23949293,SRR23949294
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,5.0,20.0,7.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,60.0,28.0,13.0,67.0,12377.0,14033.0,6556.0,19749.0,33.0,50.0,157.0,7.0,50.0,41.0,11.0,22.0,58.0,62.0,48.0,225.0,62.0,50.0,49.0,59.0,64.0,30.0,137.0,104.0,110.0,213.0,10.0,74.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,4970.0,3019.0,4014.0,6341.0,71342.0,97245.0,29500.0,82979.0,1112.0,1005.0,6873.0,448.0,939.0,376.0,112.0,169.0,9887.0,8468.0,5798.0,29677.0,5158.0,19987.0,4856.0,7314.0,9242.0,3679.0,17770.0,18927.0,11024.0,31900.0,4530.0,5263.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,3.0,24.0,23.0,11.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,0.0,0.0,0.0,0.0,120.0,44.0,21.0,320.0,31.0,4.0,3.0,18.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,140.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,12.0,2.0
hsa-let-7d-3p,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,4.0,0.0,1.0
hsa-let-7d-5p,0.0,2.0,1.0,0.0,2.0,3.0,2.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,6.0,9.0,4.0,7.0,3.0,1.0,2.0,8.0,9.0,18.0,0.0,1.0
hsa-let-7e-5p,0.0,0.0,0.0,0.0,10.0,6.0,11.0,12.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,18.0,15.0,5.0,13.0,50.0,35.0,16.0,66.0,5.0,13.0,0.0,1.0,6.0,1.0,0.0,1.0,3.0,9.0,16.0,56.0,33.0,60.0,7.0,14.0,18.0,2.0,57.0,18.0,47.0,66.0,20.0,55.0
