miRNA,SRR24055586,SRR24055587,SRR24055588,SRR24055589,SRR24055590,SRR24055591,SRR24055592,SRR24055593,SRR24055594,SRR24055595,SRR24055596,SRR24055597,SRR24055598,SRR24055599,SRR24055600,SRR24055601,SRR24055602,SRR24055603,SRR24055604,SRR24055605
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
hsa-let-7a-5p,101.0,471.0,191.0,78.0,161.0,1197.0,990.0,1401.0,377.0,531.0,1060.0,237.0,119.0,519.0,471.0,852.0,151.0,234.0,258.0,483.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-let-7b-5p,175.0,1434.0,548.0,292.0,959.0,2066.0,1997.0,834.0,443.0,443.0,4140.0,1242.0,1254.0,1710.0,1987.0,3206.0,706.0,1269.0,1458.0,3629.0
hsa-let-7c-5p,6.0,38.0,16.0,14.0,18.0,197.0,102.0,25.0,17.0,21.0,26.0,28.0,16.0,53.0,118.0,32.0,27.0,21.0,59.0,124.0
hsa-let-7d-3p,3.0,4.0,1.0,5.0,1.0,0.0,2.0,14.0,0.0,2.0,36.0,0.0,1.0,3.0,0.0,4.0,0.0,5.0,4.0,4.0
hsa-let-7d-5p,8.0,63.0,18.0,18.0,19.0,120.0,142.0,159.0,27.0,43.0,166.0,47.0,1.0,16.0,56.0,51.0,10.0,13.0,21.0,57.0
hsa-let-7e-5p,4.0,29.0,8.0,10.0,2.0,71.0,21.0,24.0,14.0,21.0,8.0,7.0,2.0,17.0,24.0,24.0,3.0,2.0,28.0,4.0
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,216.0,653.0,226.0,143.0,442.0,1736.0,2168.0,2722.0,603.0,721.0,1498.0,419.0,267.0,696.0,732.0,1469.0,484.0,436.0,575.0,1011.0
hsa-let-7g-5p,154.0,438.0,142.0,128.0,241.0,935.0,1338.0,1542.0,424.0,435.0,1753.0,284.0,145.0,585.0,512.0,955.0,257.0,255.0,314.0,520.0
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,156.0,679.0,268.0,76.0,282.0,1983.0,1837.0,1516.0,418.0,360.0,1924.0,269.0,306.0,760.0,771.0,1188.0,291.0,499.0,421.0,1173.0
hsa-miR-1-3p,19.0,130.0,34.0,53.0,80.0,228.0,103.0,42.0,74.0,58.0,145.0,200.0,118.0,128.0,126.0,182.0,112.0,55.0,150.0,95.0
hsa-miR-100-5p,20.0,141.0,62.0,81.0,262.0,259.0,217.0,159.0,58.0,165.0,272.0,225.0,136.0,237.0,302.0,420.0,224.0,213.0,436.0,257.0
hsa-miR-101-3p,34.0,201.0,81.0,49.0,98.0,434.0,726.0,252.0,122.0,121.0,924.0,120.0,132.0,452.0,453.0,550.0,135.0,226.0,265.0,718.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
hsa-miR-10399-3p,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,22.0,6.0,15.0,0.0,16.0,226.0,60.0,71.0,72.0,15.0,67.0,2.0,7.0,36.0,69.0,7.0,20.0,19.0,4.0,50.0
hsa-miR-10526-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
