miRNA,GSM7147871,GSM7147870
hsa-let-7a-2-3p,0.0,0.01
hsa-let-7a-3p,0.07,0.13
hsa-let-7a-5p,108.6,106.09
hsa-let-7b-3p,0.07,0.09
hsa-let-7b-5p,397.78,194.84
hsa-let-7c-3p,0.04,0.03
hsa-let-7c-5p,66.21,155.73
hsa-let-7d-3p,3.66,5.01
hsa-let-7d-5p,3.79,5.25
hsa-let-7e-3p,0.02,0.0
hsa-let-7e-5p,13.14,19.46
hsa-let-7f-1-3p,0.02,0.04
hsa-let-7f-5p,91.71,103.41
hsa-let-7g-5p,35.78,43.44
hsa-let-7i-5p,189.63,212.89
hsa-miR-1-3p,1.46,3.68
hsa-miR-100-3p,0.0,0.01
hsa-miR-100-5p,102.36,198.05
hsa-miR-101-3p,1.96,7.55
hsa-miR-10395-3p,0.43,0.06
hsa-miR-10395-5p,0.0,0.03
hsa-miR-10396a-5p,0.02,0.0
hsa-miR-10396b-3p,0.0,0.01
hsa-miR-10396b-5p,0.06,0.01
hsa-miR-10399-3p,0.02,0.03
hsa-miR-103a-3p,0.92,0.25
hsa-miR-10400-5p,0.02,0.04
hsa-miR-10401-3p,0.0,0.17
hsa-miR-105-5p,0.02,0.0
hsa-miR-10526-3p,0.15,0.14
hsa-miR-10527-5p,0.0,0.09
hsa-miR-106a-5p,0.02,0.04
hsa-miR-106b-3p,3.1,3.85
hsa-miR-106b-5p,0.48,0.2
hsa-miR-107,0.04,0.07
hsa-miR-10a-3p,0.04,0.03
hsa-miR-10a-5p,20.68,21.31
hsa-miR-10b-3p,0.04,0.06
hsa-miR-10b-5p,28.03,28.35
hsa-miR-1180-3p,1.26,3.39
hsa-miR-1185-1-3p,0.04,0.09
hsa-miR-1185-2-3p,0.0,0.01
hsa-miR-12136,0.2,0.0
hsa-miR-122-3p,0.0,0.01
hsa-miR-122-5p,50.17,736.66
hsa-miR-1226-3p,0.0,0.2
hsa-miR-1228-5p,0.0,0.01
hsa-miR-122b-5p,0.0,0.2
hsa-miR-124-3p,0.0,0.13
hsa-miR-1244,0.06,0.0
hsa-miR-1245b-5p,0.0,0.01
hsa-miR-1246,205.06,192.93
hsa-miR-1247-5p,0.11,0.1
hsa-miR-1248,0.15,0.0
hsa-miR-1251-5p,0.0,0.03
hsa-miR-1252-5p,0.0,0.07
hsa-miR-1255a,0.3,0.03
hsa-miR-125a-3p,1.87,0.84
hsa-miR-125a-5p,18.46,23.8
hsa-miR-125b-1-3p,3.44,3.81
hsa-miR-125b-2-3p,0.04,0.1
hsa-miR-125b-5p,10.07,10.23
hsa-miR-126-3p,6.41,4.05
hsa-miR-1260b,0.06,0.06
hsa-miR-1262,0.11,0.1
hsa-miR-1268a,2.79,0.26
hsa-miR-1268b,0.54,0.39
hsa-miR-1269a,0.02,0.35
hsa-miR-127-3p,24.02,6.92
hsa-miR-127-5p,0.24,0.04
hsa-miR-1270,0.0,0.01
hsa-miR-1271-5p,0.06,0.29
hsa-miR-1273h-5p,0.18,0.17
hsa-miR-1275,2.18,0.27
hsa-miR-1276,0.06,0.16
hsa-miR-1278,0.02,0.06
hsa-miR-128-1-5p,0.07,0.01
hsa-miR-128-3p,17.07,23.88
hsa-miR-1284,0.0,0.04
hsa-miR-1285-3p,0.0,0.04
hsa-miR-1285-5p,4.53,3.91
hsa-miR-1287-5p,0.04,0.06
hsa-miR-1288-3p,0.18,0.0
hsa-miR-129-5p,3.57,0.52
hsa-miR-1290,0.09,0.06
hsa-miR-1291,1.42,0.26
hsa-miR-1292-5p,0.17,0.0
hsa-miR-1296-5p,0.04,0.0
hsa-miR-1298-5p,0.11,0.19
hsa-miR-1299,0.04,0.01
hsa-miR-1301-3p,0.18,0.88
hsa-miR-1303,0.04,0.03
hsa-miR-1304-3p,0.02,0.04
hsa-miR-1304-5p,0.0,0.01
hsa-miR-1305,0.0,0.03
hsa-miR-1306-3p,0.18,0.25
hsa-miR-1307-3p,8.09,10.4
hsa-miR-1307-5p,1.22,0.63
hsa-miR-130a-3p,0.17,0.16
hsa-miR-130b-3p,0.06,0.06
hsa-miR-130b-5p,2.37,2.87
hsa-miR-132-3p,0.06,0.14
hsa-miR-132-5p,0.48,0.27
hsa-miR-1323,0.0,0.01
hsa-miR-133a-3p,0.35,0.07
hsa-miR-134-5p,1.63,0.52
hsa-miR-1343-3p,0.0,0.01
hsa-miR-135a-2-3p,0.13,0.09
hsa-miR-135a-5p,0.07,0.13
hsa-miR-135b-5p,0.33,0.32
hsa-miR-136-3p,0.54,0.13
hsa-miR-136-5p,0.61,0.25
hsa-miR-137-3p,0.04,0.03
hsa-miR-137-5p,0.0,0.56
hsa-miR-138-1-3p,0.09,0.0
hsa-miR-138-5p,0.17,0.22
hsa-miR-139-3p,0.04,0.3
hsa-miR-139-5p,1.68,1.21
hsa-miR-140-3p,1.26,1.17
hsa-miR-140-5p,0.02,0.19
hsa-miR-141-3p,0.79,0.4
hsa-miR-141-5p,0.0,0.01
hsa-miR-142-3p,0.18,0.26
hsa-miR-142-5p,0.28,0.53
hsa-miR-143-3p,32.08,217.44
hsa-miR-143-5p,0.2,0.07
hsa-miR-144-3p,0.78,0.5
hsa-miR-144-5p,0.0,0.14
hsa-miR-145-3p,0.33,0.78
hsa-miR-145-5p,0.26,0.58
hsa-miR-1468-5p,0.02,0.01
hsa-miR-146a-5p,0.13,0.2
hsa-miR-146b-3p,0.04,0.06
hsa-miR-146b-5p,7.24,5.8
hsa-miR-147b-3p,0.0,0.01
hsa-miR-148a-3p,473.95,3289.85
hsa-miR-148a-5p,0.07,0.38
hsa-miR-148b-3p,1.5,5.51
hsa-miR-148b-5p,0.18,0.01
hsa-miR-149-3p,0.2,0.12
hsa-miR-149-5p,1.48,1.37
hsa-miR-150-5p,0.04,0.01
hsa-miR-151a-3p,100.67,111.43
hsa-miR-151a-5p,0.3,0.29
hsa-miR-151b,0.04,0.03
hsa-miR-152-3p,2.31,5.31
hsa-miR-153-3p,0.2,0.01
hsa-miR-154-5p,0.09,0.01
hsa-miR-155-5p,3.73,1.27
hsa-miR-15a-5p,0.0,0.01
hsa-miR-15b-3p,0.02,0.01
hsa-miR-15b-5p,0.07,0.17
hsa-miR-16-2-3p,1.03,0.76
hsa-miR-16-5p,0.18,0.36
hsa-miR-17-3p,0.0,0.01
hsa-miR-17-5p,0.85,0.98
hsa-miR-181a-2-3p,3.12,4.69
hsa-miR-181a-3p,1.16,0.32
hsa-miR-181a-5p,9.59,13.27
hsa-miR-181b-2-3p,0.0,0.01
hsa-miR-181b-3p,0.07,0.06
hsa-miR-181b-5p,3.34,4.28
hsa-miR-181c-3p,0.17,0.03
hsa-miR-181c-5p,0.0,0.03
hsa-miR-181d-5p,1.28,0.66
hsa-miR-182-3p,0.02,0.04
hsa-miR-182-5p,1.68,1.7
hsa-miR-1827,0.02,0.0
hsa-miR-183-5p,2.99,3.36
hsa-miR-184,0.7,3.58
hsa-miR-1843,0.13,0.2
hsa-miR-185-3p,0.26,0.26
hsa-miR-185-5p,1.96,1.75
hsa-miR-186-5p,2.07,3.29
hsa-miR-187-3p,0.02,0.03
hsa-miR-188-5p,0.0,0.03
hsa-miR-18a-3p,0.24,0.06
hsa-miR-18a-5p,0.02,0.0
hsa-miR-1908-5p,0.41,0.16
hsa-miR-190a-5p,0.0,0.01
hsa-miR-190b-5p,0.0,0.01
hsa-miR-191-3p,0.07,0.01
hsa-miR-191-5p,6.71,7.69
hsa-miR-192-3p,0.39,0.3
hsa-miR-192-5p,125.42,152.79
hsa-miR-193a-3p,0.24,0.22
hsa-miR-193a-5p,3.58,1.1
hsa-miR-193b-3p,0.07,0.03
hsa-miR-193b-5p,2.25,1.99
hsa-miR-194-3p,0.09,0.1
hsa-miR-194-5p,14.84,16.68
hsa-miR-195-3p,0.37,0.01
hsa-miR-195-5p,0.02,0.0
hsa-miR-196a-5p,0.04,0.12
hsa-miR-196b-5p,0.24,0.27
hsa-miR-197-3p,0.22,0.4
hsa-miR-1976,0.0,0.01
hsa-miR-199a-3p,0.72,1.02
hsa-miR-199a-5p,0.26,0.42
hsa-miR-199b-3p,0.07,0.29
hsa-miR-199b-5p,0.15,0.14
hsa-miR-19a-3p,0.02,0.04
hsa-miR-19b-3p,0.06,0.0
hsa-miR-200a-3p,8.24,8.66
hsa-miR-200a-5p,5.1,4.62
hsa-miR-200b-3p,12.95,13.26
hsa-miR-200b-5p,1.16,0.94
hsa-miR-200c-3p,10.72,11.44
hsa-miR-203a-3p,11.9,12.28
hsa-miR-203b-3p,0.0,0.03
hsa-miR-204-3p,10.68,1.26
hsa-miR-204-5p,3.25,3.3
hsa-miR-205-5p,0.07,0.1
hsa-miR-206,2.18,0.36
hsa-miR-20a-5p,0.85,1.75
hsa-miR-20b-5p,0.04,0.03
hsa-miR-21-3p,0.5,0.19
hsa-miR-21-5p,587.01,513.27
hsa-miR-210-3p,0.04,0.07
hsa-miR-211-5p,0.54,0.0
hsa-miR-2110,0.91,0.85
hsa-miR-212-5p,0.04,0.13
hsa-miR-214-3p,0.0,0.03
hsa-miR-215-3p,0.07,0.01
hsa-miR-215-5p,36.55,37.29
hsa-miR-216a-3p,0.15,0.0
hsa-miR-216a-5p,0.0,0.06
hsa-miR-217-5p,0.06,0.07
hsa-miR-218-5p,1.55,2.51
hsa-miR-219a-1-3p,0.18,0.0
hsa-miR-22-3p,9.79,11.31
hsa-miR-22-5p,1.53,1.46
hsa-miR-221-3p,16.1,10.95
hsa-miR-221-5p,3.38,1.93
hsa-miR-222-3p,46.94,38.17
hsa-miR-222-5p,0.02,0.06
hsa-miR-223-5p,0.0,0.06
hsa-miR-224-3p,0.02,0.0
hsa-miR-224-5p,1.53,1.5
hsa-miR-2277-5p,0.04,0.0
hsa-miR-23a-3p,1.81,2.9
hsa-miR-23a-5p,0.83,0.4
hsa-miR-23b-3p,2.38,3.77
hsa-miR-23b-5p,0.13,0.42
hsa-miR-24-1-5p,0.0,0.07
hsa-miR-24-2-5p,0.67,0.5
hsa-miR-24-3p,8.35,17.92
hsa-miR-25-3p,8.08,10.44
hsa-miR-25-5p,0.33,0.39
hsa-miR-2682-5p,0.43,1.9
hsa-miR-26a-2-3p,0.0,0.01
hsa-miR-26a-5p,99.36,106.86
hsa-miR-26b-3p,0.06,0.1
hsa-miR-26b-5p,3.4,3.58
hsa-miR-27a-3p,5.01,7.62
hsa-miR-27a-5p,4.43,2.91
hsa-miR-27b-3p,36.02,44.13
hsa-miR-27b-5p,0.61,0.39
hsa-miR-28-3p,7.48,3.97
hsa-miR-28-5p,3.4,2.18
hsa-miR-296-3p,2.81,0.89
hsa-miR-299-3p,0.94,0.0
hsa-miR-299-5p,0.0,0.01
hsa-miR-29a-3p,4.56,5.22
hsa-miR-29b-3p,0.18,0.06
hsa-miR-29c-3p,0.0,0.03
hsa-miR-29c-5p,0.0,0.01
hsa-miR-301a-5p,0.02,0.13
hsa-miR-302a-3p,0.0,0.01
hsa-miR-302b-3p,0.0,0.07
hsa-miR-30a-3p,6.08,14.46
hsa-miR-30a-5p,17.41,25.38
hsa-miR-30b-3p,0.06,0.13
hsa-miR-30b-5p,0.31,0.17
hsa-miR-30c-1-3p,0.0,0.03
hsa-miR-30c-2-3p,0.41,1.21
hsa-miR-30c-5p,6.63,7.6
hsa-miR-30d-3p,0.07,0.03
hsa-miR-30d-5p,148.15,153.24
hsa-miR-30e-3p,4.42,5.28
hsa-miR-30e-5p,2.33,2.5
hsa-miR-31-3p,0.02,0.04
hsa-miR-31-5p,0.2,0.2
hsa-miR-3125,0.26,0.0
hsa-miR-3126-5p,0.2,0.23
hsa-miR-3127-5p,0.0,0.01
hsa-miR-3129-3p,0.0,0.01
hsa-miR-3131,0.02,0.0
hsa-miR-3133,0.0,0.06
hsa-miR-3148,0.17,0.0
hsa-miR-3150a-5p,0.0,0.01
hsa-miR-3151-5p,0.57,0.0
hsa-miR-3152-5p,0.04,0.09
hsa-miR-3157-3p,0.0,0.01
hsa-miR-3158-3p,0.35,0.32
hsa-miR-3162-5p,0.0,0.09
hsa-miR-3167,0.24,0.01
hsa-miR-3168,0.02,0.03
hsa-miR-3173-5p,0.02,0.0
hsa-miR-3175,0.0,0.04
hsa-miR-3176,0.0,0.01
hsa-miR-3177-3p,0.11,0.0
hsa-miR-3178,0.09,0.5
hsa-miR-3180,0.09,0.0
hsa-miR-3180-3p,0.63,0.12
hsa-miR-3182,2.57,4.28
hsa-miR-3187-3p,0.33,0.07
hsa-miR-3195,0.0,0.13
hsa-miR-3196,0.24,0.07
hsa-miR-32-3p,0.04,0.0
hsa-miR-32-5p,0.28,0.23
hsa-miR-320a-3p,365.16,89.08
hsa-miR-320a-5p,0.06,0.45
hsa-miR-320b,16.43,16.4
hsa-miR-320c,39.05,7.69
hsa-miR-320d,7.21,4.89
