miRNA,SRR24831285
hsa-miR-21-5p,5331.6
hsa-let-7i-5p,2018.23
hsa-miR-100-5p,746.97
hsa-miR-221-3p,615.06
hsa-miR-26a-5p,387.48
hsa-let-7g-5p,380.18
hsa-miR-199a-3p,590.65
hsa-let-7b-5p,257.97
hsa-miR-99a-5p,208.6
hsa-let-7a-5p,207.54
hsa-miR-127-3p,174.63
hsa-let-7f-5p,131.37
hsa-miR-320a-3p,140.4
hsa-miR-27a-3p,143.18
hsa-miR-222-3p,237.27
hsa-miR-148a-3p,89.44
hsa-miR-224-5p,123.94
hsa-miR-10b-5p,93.69
hsa-let-7c-5p,92.76
hsa-miR-25-3p,70.99
hsa-miR-409-3p,124.87
hsa-miR-151a-3p,105.23
hsa-miR-199a-5p,63.16
hsa-miR-29a-3p,146.63
hsa-miR-143-3p,87.85
hsa-miR-30d-5p,100.32
hsa-miR-379-5p,52.95
hsa-miR-146b-5p,88.25
hsa-miR-22-3p,32.38
hsa-miR-381-3p,31.18
hsa-miR-370-3p,31.85
hsa-miR-24-3p,53.48
hsa-miR-493-5p,34.24
hsa-miR-125b-5p,60.38
hsa-miR-199b-5p,33.31
hsa-miR-27b-3p,41.93
hsa-miR-30a-5p,45.65
hsa-miR-221-5p,26.94
hsa-miR-10a-5p,24.42
hsa-miR-99b-5p,34.9
hsa-miR-23a-3p,36.36
hsa-miR-493-3p,23.36
hsa-miR-155-5p,22.03
hsa-miR-134-5p,22.03
hsa-miR-140-3p,39.15
hsa-miR-378a-3p,17.91
hsa-miR-654-3p,30.26
hsa-miR-382-5p,18.45
hsa-miR-193a-5p,18.98
hsa-miR-30c-5p,18.45
hsa-miR-503-5p,17.38
hsa-miR-494-3p,10.35
hsa-miR-7-5p,11.41
hsa-miR-136-3p,10.22
hsa-miR-152-3p,18.18
hsa-miR-532-5p,9.16
hsa-let-7e-5p,15.26
hsa-miR-148b-3p,9.02
hsa-miR-382-3p,15.26
hsa-miR-125a-5p,11.68
hsa-miR-574-5p,14.2
hsa-miR-543,11.81
hsa-miR-629-5p,10.09
hsa-miR-423-5p,10.48
hsa-miR-423-3p,10.48
hsa-miR-191-5p,13.67
hsa-let-7d-5p,9.55
hsa-miR-1246,16.45
hsa-miR-30e-5p,7.17
hsa-miR-92a-3p,11.81
hsa-miR-744-5p,8.89
hsa-miR-181a-5p,10.88
hsa-miR-128-3p,8.36
hsa-miR-181b-5p,7.17
hsa-miR-129-5p,4.78
hsa-miR-125b-1-3p,7.3
hsa-miR-31-5p,7.03
hsa-miR-185-5p,5.84
hsa-miR-320b,10.88
hsa-miR-122-5p,5.57
hsa-miR-574-3p,7.43
hsa-miR-214-5p,4.38
hsa-miR-323a-3p,7.43
hsa-miR-218-5p,6.37
hsa-miR-22-5p,4.91
hsa-miR-34c-5p,4.64
hsa-miR-34a-5p,7.83
hsa-miR-424-3p,6.63
hsa-miR-26b-5p,4.25
hsa-miR-450a-5p,7.17
hsa-miR-199b-3p,4.91
hsa-miR-210-3p,4.78
hsa-miR-889-3p,5.18
hsa-miR-28-3p,9.02
hsa-miR-99b-3p,6.63
hsa-miR-455-5p,3.32
hsa-miR-145-5p,3.05
hsa-miR-106b-3p,6.5
hsa-miR-93-5p,2.92
hsa-miR-320c,4.64
hsa-miR-654-5p,3.18
hsa-miR-941,2.39
hsa-miR-196a-5p,2.79
hsa-miR-1271-5p,2.39
hsa-miR-433-3p,2.65
hsa-miR-411-5p,4.78
hsa-miR-92b-3p,3.05
hsa-miR-665,4.11
hsa-miR-411-3p,2.12
hsa-miR-502-3p,2.12
hsa-miR-452-5p,3.32
hsa-miR-3158-3p,1.99
hsa-miR-98-5p,2.39
hsa-miR-181a-2-3p,3.58
hsa-miR-361-3p,6.77
hsa-miR-660-5p,1.73
hsa-miR-495-3p,2.52
hsa-miR-24-2-5p,3.32
hsa-miR-409-5p,2.52
hsa-miR-186-5p,3.85
hsa-miR-23b-3p,1.73
hsa-miR-130b-5p,1.99
hsa-miR-20a-5p,1.46
hsa-miR-432-5p,4.11
hsa-miR-101-3p,2.79
hsa-miR-1180-3p,1.46
hsa-miR-769-5p,2.12
hsa-miR-450b-5p,1.59
hsa-miR-484,1.46
hsa-miR-140-5p,1.19
hsa-miR-369-5p,1.59
hsa-miR-1291,3.72
hsa-miR-192-5p,2.79
hsa-miR-758-3p,1.33
hsa-miR-487b-3p,1.59
hsa-miR-3182,0.93
hsa-miR-514a-3p,1.19
hsa-miR-30e-3p,0.93
hsa-miR-10a-3p,1.73
hsa-miR-589-5p,0.93
hsa-miR-106b-5p,1.33
hsa-miR-339-5p,1.86
hsa-miR-424-5p,1.33
hsa-miR-136-5p,1.19
hsa-miR-500a-3p,1.59
hsa-miR-214-3p,2.39
hsa-miR-154-5p,1.06
hsa-miR-2682-5p,0.93
hsa-miR-15b-5p,1.59
hsa-miR-31-3p,0.93
hsa-miR-335-3p,1.19
hsa-miR-329-3p,1.19
hsa-miR-33a-3p,0.66
hsa-miR-4791,0.8
hsa-miR-342-3p,0.66
hsa-miR-197-3p,1.33
hsa-miR-425-3p,1.06
hsa-miR-582-3p,0.66
hsa-miR-615-3p,1.73
hsa-miR-125a-3p,0.66
hsa-miR-3130-3p,0.66
hsa-miR-193b-3p,0.66
hsa-miR-299-5p,1.19
hsa-miR-377-5p,1.19
hsa-miR-1185-1-3p,0.93
hsa-miR-143-5p,1.33
hsa-miR-30b-5p,0.66
hsa-miR-485-5p,1.46
hsa-miR-379-3p,0.53
hsa-miR-365b-3p,0.53
hsa-miR-17-5p,0.93
hsa-miR-576-3p,0.93
hsa-miR-3609,0.8
hsa-miR-412-5p,0.8
hsa-miR-145-3p,1.06
hsa-miR-1287-5p,0.66
hsa-miR-337-3p,0.93
hsa-miR-425-5p,1.73
hsa-miR-340-5p,1.06
hsa-miR-200b-3p,0.93
hsa-miR-542-3p,0.66
hsa-miR-708-3p,1.46
hsa-miR-4508,1.19
hsa-miR-671-3p,0.66
hsa-miR-1288-3p,0.4
hsa-miR-330-3p,0.93
hsa-miR-539-3p,0.4
hsa-miR-146a-5p,1.06
hsa-miR-486-3p,0.4
hsa-miR-451a,0.53
hsa-miR-181a-3p,0.66
hsa-miR-455-3p,0.66
hsa-miR-450a-2-3p,0.93
hsa-miR-656-3p,0.4
hsa-miR-127-5p,0.8
hsa-miR-369-3p,0.4
hsa-miR-541-3p,0.4
hsa-miR-550a-3p,0.4
hsa-miR-377-3p,0.4
hsa-miR-200c-3p,0.53
hsa-let-7d-3p,0.93
hsa-miR-15b-3p,0.53
hsa-miR-320d,0.53
hsa-miR-138-5p,0.53
hsa-miR-4746-5p,0.53
hsa-miR-154-3p,0.4
hsa-miR-584-5p,0.4
hsa-miR-92b-5p,0.4
hsa-miR-548e-3p,0.4
hsa-mir-3159-5p,0.93
hsa-miR-365a-5p,0.27
hsa-miR-196b-5p,0.27
hsa-miR-181b-3p,0.27
hsa-miR-516b-5p,0.27
hsa-miR-668-3p,0.27
hsa-miR-708-5p,0.66
hsa-miR-1307-5p,0.27
hsa-miR-107,0.27
hsa-miR-4497,0.66
hsa-miR-152-5p,0.27
hsa-miR-4473,0.27
hsa-miR-3152-5p,0.4
hsa-miR-365b-5p,0.53
hsa-miR-1197,0.27
hsa-miR-1285-5p,0.53
hsa-miR-132-5p,0.66
hsa-miR-200a-3p,0.4
hsa-miR-27a-5p,0.4
hsa-miR-328-3p,0.27
hsa-miR-6793-5p,0.27
hsa-miR-4488,0.53
hsa-miR-1278,0.27
hsa-miR-485-3p,0.27
hsa-miR-1-3p,0.4
hsa-miR-3613-5p,0.27
hsa-miR-486-5p,0.4
hsa-miR-4423-3p,0.27
hsa-miR-1843,0.27
hsa-miR-548o-3p,0.27
hsa-miR-671-5p,0.27
hsa-miR-1193,0.27
hsa-miR-651-5p,0.27
hsa-miR-181d-5p,0.27
hsa-miR-483-5p,0.27
hsa-miR-370-5p,0.4
hsa-miR-103a-3p,0.4
hsa-miR-224-3p,0.27
hsa-miR-16-2-3p,0.27
hsa-miR-501-3p,0.4
hsa-miR-10395-3p,0.53
hsa-miR-376c-3p,0.27
hsa-miR-17-3p,0.27
hsa-miR-9-5p,0.53
hsa-miR-16-5p,0.4
hsa-miR-148a-5p,0.27
hsa-miR-218-1-3p,0.27
hsa-miR-23b-5p,0.27
hsa-miR-1303,0.53
hsa-miR-4326,0.4
hsa-miR-125b-2-3p,0.27
hsa-miR-652-3p,0.27
hsa-miR-4433b-3p,0.27
hsa-miR-508-3p,0.27
hsa-miR-942-5p,0.27
hsa-miR-1248,0.53
hsa-miR-29b-3p,0.13
hsa-miR-212-5p,0.13
hsa-miR-203a-3p,0.13
hsa-miR-6515-5p,0.27
