miRNA,SRR24875824,SRR24875825,SRR24875826,SRR24875827,SRR24875828,SRR24875829,SRR24875830,SRR24875831,SRR24875832
hsa-let-7a-5p,66985.0,16294.0,72671.0,31127.0,52982.0,31032.0,101944.0,359921.0,4900.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
hsa-let-7b-5p,348420.0,252549.0,345764.0,230937.0,429558.0,232438.0,338104.0,458709.0,128105.0
hsa-let-7c-5p,9537.0,10636.0,3880.0,8637.0,4960.0,8823.0,5381.0,15654.0,615.0
hsa-let-7d-3p,3223.0,1434.0,3076.0,824.0,1591.0,830.0,271.0,1067.0,891.0
hsa-let-7d-5p,3.0,2202.0,0.0,892.0,1.0,954.0,1829.0,4582.0,1.0
hsa-let-7e-5p,8526.0,2332.0,8563.0,6685.0,16544.0,6749.0,6901.0,18682.0,940.0
hsa-let-7f-5p,20500.0,8116.0,20438.0,12711.0,13573.0,12929.0,27033.0,109474.0,2345.0
hsa-let-7g-5p,422.0,2213.0,432.0,1096.0,786.0,1041.0,1610.0,5680.0,5.0
hsa-let-7i-5p,2862.0,1348.0,2779.0,2259.0,5025.0,2206.0,2601.0,5600.0,12.0
hsa-miR-1-3p,15.0,5810.0,11.0,583.0,1269.0,553.0,368.0,113.0,3.0
hsa-miR-100-5p,300.0,2175.0,282.0,1207.0,1468.0,1103.0,133.0,836.0,2.0
hsa-miR-101-3p,848.0,894.0,706.0,0.0,639.0,1.0,0.0,0.0,0.0
hsa-miR-10399-3p,1.0,755.0,0.0,0.0,0.0,0.0,1.0,278.0,0.0
hsa-miR-103a-3p,711.0,3.0,0.0,0.0,2.0,0.0,38.0,1736.0,1.0
hsa-miR-10526-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,531.0,1.0,533.0,366.0,167.0,346.0,376.0,522.0,955.0
hsa-miR-106b-5p,0.0,0.0,0.0,0.0,1.0,0.0,36.0,0.0,0.0
hsa-miR-10a-5p,9795.0,16846.0,9722.0,19900.0,30412.0,20258.0,5282.0,21798.0,3894.0
