miRNA,SRR24949599,SRR24949600,SRR24949603,SRR24949604,SRR24949605,SRR24949606,SRR24949607,SRR24949608,SRR24949609,SRR24949610,SRR24949611,SRR24949612,SRR24949613,SRR24949614
hsa-let-7a-5p,195.24,87.82,70.15,50.12,50.25,74.98,47.87,97.28,132.97,156.05,202.81,87.55,166.92,111.26
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,24.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,97.62,263.46,56.12,0.0,50.25,0.0,95.75,24.32,75.98,83.23,101.41,87.55,139.1,55.63
hsa-let-7d-5p,97.62,0.0,14.03,0.0,50.25,0.0,0.0,24.32,19.0,15.61,0.0,0.0,9.27,18.54
hsa-let-7e-5p,0.0,0.0,28.06,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,18.55,0.0
hsa-let-7f-5p,0.0,43.91,28.06,50.12,50.25,24.99,47.87,72.96,94.98,88.43,33.8,145.92,157.65,92.72
hsa-let-7g-5p,0.0,0.0,0.0,50.12,0.0,0.0,0.0,0.0,19.0,5.2,0.0,29.18,9.27,0.0
hsa-let-7i-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.55,18.54
hsa-miR-100-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,33.8,58.37,9.27,55.63
hsa-miR-101-2-5p,0.0,0.0,14.03,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,29.18,0.0,0.0
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,18.55,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27,0.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27,0.0
hsa-miR-106b-5p,0.0,0.0,14.03,0.0,0.0,0.0,0.0,24.32,19.0,5.2,33.8,0.0,9.27,18.54
hsa-miR-10a-5p,0.0,0.0,14.03,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,18.55,0.0
hsa-miR-1180-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,9.27,18.54
hsa-miR-12136,0.0,0.0,56.12,0.0,50.25,49.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1247-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,0.0,0.0,18.54
hsa-miR-1248,0.0,43.91,0.0,0.0,0.0,24.99,95.75,97.28,56.99,26.01,67.6,0.0,46.37,55.63
hsa-miR-125b-5p,0.0,0.0,0.0,0.0,0.0,0.0,47.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1291,0.0,0.0,0.0,0.0,0.0,0.0,47.87,72.96,37.99,98.83,0.0,58.37,64.91,129.81
hsa-miR-1292-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27,0.0
hsa-miR-1296-5p,0.0,0.0,14.03,0.0,0.0,0.0,95.75,0.0,19.0,10.4,33.8,0.0,9.27,18.54
hsa-miR-135b-5p,585.71,175.64,98.21,100.24,50.25,124.97,95.75,364.8,322.92,202.87,33.8,1459.21,166.92,203.98
hsa-miR-141-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,9.27,18.54
hsa-miR-142-5p,97.62,0.0,0.0,0.0,50.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27,0.0
hsa-miR-143-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0
hsa-miR-146b-5p,0.0,0.0,14.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-148a-5p,0.0,0.0,14.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-148b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0
hsa-miR-151a-5p,0.0,43.91,14.03,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,9.27,0.0
hsa-miR-15a-5p,0.0,0.0,0.0,0.0,0.0,24.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-15b-5p,0.0,0.0,14.03,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,9.27,0.0
hsa-miR-16-5p,0.0,0.0,42.09,0.0,100.5,24.99,47.87,97.28,94.98,52.02,67.6,0.0,92.73,129.81
hsa-miR-17-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.37,0.0,0.0
hsa-miR-181a-2-3p,0.0,0.0,42.09,0.0,100.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181a-5p,0.0,0.0,14.03,50.12,0.0,0.0,47.87,0.0,0.0,0.0,33.8,0.0,9.27,0.0
hsa-miR-181b-3p,0.0,0.0,28.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.82,0.0
hsa-miR-182-5p,1366.65,658.65,350.76,751.77,552.74,224.94,430.87,583.69,607.86,535.78,540.83,1138.19,380.21,278.16
hsa-miR-183-5p,683.33,570.83,589.28,451.06,351.74,224.94,478.74,170.24,493.88,494.17,236.61,175.11,176.2,148.35
hsa-miR-1843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0
hsa-miR-185-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27,0.0
hsa-miR-186-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0
hsa-miR-188-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.32,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-18a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-191-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-196b-5p,0.0,0.0,182.4,50.12,150.75,174.95,0.0,48.64,19.0,20.81,135.21,145.92,37.09,92.72
hsa-miR-197-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,0.0,0.0,0.0
hsa-miR-19b-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27,0.0
hsa-miR-200a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.32,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-200c-5p,0.0,0.0,42.09,200.47,100.5,0.0,0.0,48.64,19.0,41.61,135.21,29.18,64.91,37.09
hsa-miR-20a-5p,0.0,0.0,84.18,200.47,100.5,49.99,143.62,97.28,19.0,67.62,33.8,116.74,120.55,92.72
hsa-miR-21-5p,97.62,0.0,336.73,200.47,452.24,174.95,383.0,462.08,360.91,301.7,405.62,262.66,296.75,129.81
hsa-miR-2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-22-5p,0.0,0.0,0.0,0.0,50.25,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0
hsa-miR-221-5p,0.0,0.0,0.0,0.0,50.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0
hsa-miR-23b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.54
hsa-miR-24-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,95.75,24.32,19.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-24-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.4,33.8,29.18,37.09,18.54
hsa-miR-25-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,0.0,0.0,0.0
hsa-miR-26a-5p,97.62,0.0,14.03,0.0,150.75,74.98,95.75,97.28,19.0,15.61,169.01,29.18,27.82,74.18
hsa-miR-26b-5p,0.0,87.82,42.09,50.12,0.0,124.97,0.0,0.0,0.0,0.0,67.6,0.0,0.0,37.09
hsa-miR-29a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,29.18,0.0,0.0
hsa-miR-29c-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5.2,0.0,0.0,9.27,0.0
hsa-miR-30c-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.32,0.0,5.2,0.0,0.0,9.27,0.0
hsa-miR-30d-5p,0.0,0.0,14.03,0.0,0.0,0.0,0.0,0.0,37.99,5.2,33.8,0.0,9.27,0.0
hsa-miR-30e-5p,0.0,0.0,14.03,0.0,0.0,24.99,0.0,0.0,0.0,10.4,0.0,29.18,0.0,0.0
hsa-miR-31-5p,0.0,0.0,28.06,0.0,0.0,0.0,0.0,24.32,0.0,20.81,0.0,0.0,9.27,55.63
hsa-miR-3173-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,0.0,0.0,0.0
hsa-miR-32-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.99,5.2,0.0,0.0,27.82,0.0
hsa-miR-324-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0
hsa-miR-331-3p,0.0,0.0,42.09,0.0,0.0,0.0,0.0,0.0,37.99,5.2,33.8,0.0,18.55,18.54
hsa-miR-339-5p,0.0,43.91,56.12,50.12,50.25,174.95,0.0,24.32,0.0,15.61,67.6,29.18,37.09,55.63
hsa-miR-33a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,18.54
hsa-miR-33b-5p,0.0,0.0,56.12,0.0,100.5,0.0,95.75,0.0,19.0,72.82,67.6,87.55,37.09,92.72
hsa-miR-340-5p,0.0,0.0,0.0,50.12,50.25,0.0,0.0,0.0,0.0,0.0,33.8,0.0,0.0,0.0
hsa-miR-345-5p,0.0,0.0,0.0,0.0,50.25,0.0,0.0,0.0,19.0,0.0,33.8,0.0,0.0,0.0
hsa-miR-346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27,0.0
hsa-miR-34a-5p,97.62,0.0,0.0,0.0,0.0,0.0,47.87,24.32,19.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-361-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,0.0,0.0,0.0
hsa-miR-3620-3p,0.0,0.0,0.0,0.0,0.0,24.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3620-5p,0.0,0.0,0.0,0.0,50.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-365b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.32,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3679-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-374a-3p,0.0,0.0,0.0,0.0,0.0,24.99,47.87,24.32,37.99,5.2,0.0,0.0,27.82,55.63
hsa-miR-376a-5p,0.0,0.0,0.0,0.0,0.0,24.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-378a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.96,0.0,10.4,0.0,0.0,0.0,0.0
hsa-miR-3940-5p,0.0,0.0,0.0,0.0,50.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-424-5p,0.0,0.0,0.0,50.12,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,18.54
hsa-miR-425-5p,0.0,0.0,14.03,0.0,0.0,0.0,47.87,24.32,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.99,52.02,33.8,58.37,37.09,0.0
hsa-miR-455-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5.2,0.0,0.0,0.0,0.0
hsa-miR-4739,0.0,0.0,0.0,0.0,50.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4750-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4758-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0
hsa-miR-500a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.6,0.0,0.0,0.0
