Accession,Status,Has_Results,SubmissionDate,Title,Is_Blood,Is_CellLine
PXD064297,Cell Line,Not Checked,2025-05-26,Labelfree proteomics in Extracellular vesicles from human microglia cells,False,True
PXD062469,Cell Line,Not Checked,2025-04-01,The ceramide-dependent EV secretome differentially affects prostate cancer cell migration,False,True
PXD062276,Cell Line,Not Checked,2025-03-27,Comprehensive Proteomic Profiling of Breast Cancer-Derived Small Extracellular Vesicles Unveiled PXDN and GGT5 as Novel Protein Markers Implicated in Oncogenic Signaling Networks,False,True
PXD061889,High Priority (Blood),True,2025-03-16,The Multiomics Landscape of Plasma Exosomes in First-Episode Drug-Naïve of Schizophrenia,True,False
PXD061828,Cell Line,Not Checked,2025-03-14,Familial Alzheimer disease mutation in SORL1 impairs release of neurotrophic extracellular vesicles by microglia,False,True
PXD059885,Mixed/Unsure,True,2025-01-16,SILAC-Based Characterization of Plasma-Derived Extracellular Vesicles in Patients Undergoing Partial Hepatectomy,True,True
PXD058992,Mixed/Unsure,True,2024-12-18,Optimized Method for Cell Surface Protein Identification on Primary B-Cell Precursor Acute Lymphoblastic Leukemia Cells,True,True
PXD056161,Cell Line,Not Checked,2024-09-24,Metabolomic and Proteomic Analysis of Breast Cancer Exosomes Reveals Alterations in Purine and Carnitine Metabolism,False,True
PXD055250,Cell Line,Not Checked,2024-08-27,The exosomal CD44 from bronchoalveolar lavage fluid as a biomarker for pulmonary fibrosis in diffuse parenchymal lung diseases,False,True
PXD052445,High Priority (Blood),False,2024-05-21,Proteomic analysis and functional validation reveal distinct therapeutic capabilities related to priming of mesenchymal stromal/stem cells with IFN-γ and hypoxia: potential  implications for their clinical use,True,False
PXD051500,Cell Line,Not Checked,2024-04-16,Proteomics of 58 platinum-sensitive and 30 platinum-resistant ovarian cancer tissue-derived exosomes,False,True
PXD051234,MaxQuant (Other),Not Checked,2024-04-06,"Ascites Exosomes from Epithelial Ovarian Cancer Patients Contain ITGA3, Which Promotes the Migration of Epithelial Ovarian Cancer Cell",False,False
PXD051130,Cell Line,Not Checked,2024-04-01,Netrin-1 engineered endothelial cell exosomes induce the formation of pre-regenerative niche to accelerate peripheral nerve repair,False,True
PXD050589,High Priority (Blood),False,2024-03-13,"Proteomic Profiling of Cerebrospinal Fluid and its EVs from Extraventricular Drainage in Pediatric Pilocytic Astrocytoma, Towards Precision Oncology",True,False
PXD050049,High Priority (Blood),False,2024-02-23,"Proteomic studies of human placentas reveal partnerships associated with preeclampsia, diabetes, gravidity, and labor",True,False
PXD049036,High Priority (Blood),False,2024-01-31,FACS-Proteomics strategy toward Extracellular Vesicles single-phenotype characterization in biological fluids: insights into the role of Leukocyte-derived EVs in Multiple Sclerosis,True,False
PXD048870,MaxQuant (Other),Not Checked,2024-01-25,Identifying cellular RNA-binding proteins during infection uncovers a role for MKRN2 in influenza mRNA trafficking.,False,False
PXD048498,MaxQuant (Other),Not Checked,2024-01-12,Proteomic profiling of extracellular vesicle in A549 cells under oxidative stress,False,False
PXD047650,Cell Line,Not Checked,2023-12-08,Evaluation of secretomes derived from human dermal and adipose tissue mesenchymal stem/stromal cells for skin wound healing: Not as effective as cells,False,True
PXD047470,High Priority (Blood),False,2023-12-03,Proteomics profiling of tumor-derived extracellular vesicles for triple-negative breast cancer,True,False
PXD047328,Mixed/Unsure,True,2023-11-28,Extracellular vesicles secreted by 3D tumor organoids are enriched for immune regulatory signaling biomolecules compared to conventional 2D glioblastoma cell systems,True,True
PXD046955,Cell Line,Not Checked,2023-11-14,Human SKI component SKIV2L regulates telomeric DNA-RNA hybrids and prevents telomere fragility,False,True
PXD046846,Mixed/Unsure,False,2023-11-10,CD99 modulates the proteomic landscape of Ewing sarcoma cells and related-extracellular vesicles.,True,True
PXD046189,High Priority (Blood),True,2023-10-17,Feasibility of phosphoproteomics to uncover oncogenic signalling in secreted extracellular vesicles using glioblastoma-EGFRVIII cells as a model,True,False
PXD045842,MaxQuant (Other),Not Checked,2023-10-01,Dual agonistic and antagonistic roles of ZC3H18 provides for co-activation of distinct nuclear RNA decay pathways,False,False
PXD045362,Mixed/Unsure,False,2023-09-13,"Benefits of FAIMS to improve the proteome coverage of deteri-orated, and/or cross-linked TMT 10-plex FFPE tissue and plas-ma-derived exosomes samples",True,True
PXD045367,Mixed/Unsure,False,2023-09-13,"Benefits of FAIMS to improve the proteome coverage of deteriorated, and/or cross-linked TMT 10-plex FFPE tissue and plas-ma-derived exosomes samples",True,True
PXD044446,Cell Line,Not Checked,2023-08-08,The MYCN oncoprotein is an RNA-binding protein that promotes nascent RNA turnover via the NEXT targeting complex of the nuclear exosome,False,True
PXD044245,MaxQuant (Other),Not Checked,2023-08-01,PVRL2 suppresses anti-tumor immunity through PVRIG- and TIGIT-independent pathways,False,False
PXD043874,Cell Line,Not Checked,2023-07-18,Elucidation of urinary extracellular vesicle protein signatures from patients with cribriform and intraductal prostate carcinoma,False,True
PXD043840,MaxQuant (Other),Not Checked,2023-07-17,Identification of Novel Scaffold Proteins for Improved Endogenous Engineering of Extracellular Vesicles,False,False
PXD043581,Mixed/Unsure,False,2023-07-06,A proteomic-based approach identifies the NEDD4-adaptor NDFIP2 as an important regulator of IFITM3,True,True
PXD042940,Cell Line,Not Checked,2023-06-15,"Proteomic analysis of extracellular vesicle released by MCF7 cells in the absence of the tetraspanins CD9, CD81 or CD63",False,True
PXD042597,Mixed/Unsure,False,2023-06-01,Benefits of FAIMS to improve the proteome coverage of hard-to-analyze TMT 10-plex FFPE tissue and plasma-derived exosomes samples,True,True
PXD042596,Mixed/Unsure,False,2023-06-01,Benefits of FAIMS to improve the proteome coverage of hard-to-analyze TMT 10-plex FFPE tissue and plasma-derived exosomes samples,True,True
PXD042601,Mixed/Unsure,False,2023-06-01,Benefits of FAIMS to improve the proteome coverage of hard-to-analyze TMT 10-plex FFPE tissue and plasma-derived exosomes samples,True,True
PXD042543,High Priority (Blood),False,2023-05-30,Screening of exosome-derived proteins and their potential as biomarkers to diagnostic and prognostic for pancreatic cancer,True,False
PXD042422,High Priority (Blood),False,2023-05-23,Plasma-derived exosome proteins as novel diagnostic and prognostic biomarkers in neuroblastoma patients,True,False
PXD042379,High Priority (Blood),False,2023-05-22,Proteomics of plasma and plasma-treated podocytes: application to focal and segmental glomerulosclerosis,True,False
PXD041529,Cell Line,Not Checked,2023-04-14,Extracellular vesicle subtypes from human colorectal cancer cell lines,False,True
PXD041139,Mixed/Unsure,False,2023-03-28,Proteomic analysis reveals insufficient folliculogenesis in Aging Female associates with infertility,True,True
PXD041028,High Priority (Blood),True,2023-03-22,HIV-1 Nef changes the proteome of T cells extracellular vesicles,True,False
PXD040958,MaxQuant (Other),Not Checked,2023-03-18,Proteomic analysis of small Extracellular vesicles in control cells and SNAP-depleted cells,False,False
PXD040935,MaxQuant (Other),Not Checked,2023-03-17,Distinct microRNA and protein profiles of extracellular vesicles secreted from myotubes from morbidly obese donors with type 2 diabetes in response to electrical pulse stimulation,False,False
PXD040865,Mixed/Unsure,False,2023-03-14,Ceramide-dependent vesicle secretion modulates the integrated stress response in hematopoietic stem cells,True,True
PXD040470,Cell Line,Not Checked,2023-02-27,Proteomics Analysis of Extracellular Vesicles from In Vitro Models of the Human Airway.,False,True
PXD038850,Cell Line,Not Checked,2022-12-15,PRODUCT CHARACTERIZATION AND PRECLINICAL SAFETY OF UMBILICAL CORD MESENCHYMAL STROMAL CELL-DERIVED SMALL EXTRACELLULAR VESICLES,False,True
PXD038587,MaxQuant (Other),Not Checked,2022-12-06,Lung Cancer Exosomes Hypoxic v Normoxic,False,False
PXD038518,Cell Line,Not Checked,2022-12-02,Whole proteome and transcriptome analysis of cancer-derived extracellular vesicles overlap in specific pathways and distinct EV populations,False,True
PXD037608,Mixed/Unsure,False,2022-10-20,Proteomics analysis of plasma-derived exosomes unveils the aberrant complement and coagulation cascades in dermatomyositis/polymyositis,True,True
PXD037483,Mixed/Unsure,False,2022-10-17,Proteomics analysis of plasma-derived exosomes unveils the aberrant complement and coagulation cascades in dermatomyositis/polymyositis,True,True
PXD037266,Cell Line,Not Checked,2022-10-10,Proteomic profile of extracellular vesicles released by breast cancer cells,False,True
PXD036359,Cell Line,Not Checked,2022-08-27,Proteomic profiling of glioblastoma stem cells and their small extracellular vesicles,False,True
PXD035292,MaxQuant (Other),Not Checked,2022-07-13,Artificial Intelligence in proteomic profiling of Cerebrospinal fluid from extraventricular drainage in child Medulloblastoma,False,False
PXD035248,MaxQuant (Other),Not Checked,2022-07-11,Proteomic profiling of extracellular vesicles from cancer-associated fibroblast-induced myeloid-derived suppressor cells and related cell types,False,False
PXD035199,High Priority (Blood),False,2022-07-09,Benchmarking blood collection tubes and processing intervals for extracellular vesicle performance metrics,True,False
PXD034626,Cell Line,Not Checked,2022-06-17,Extracellular vesicles of human diabetic retinopathy retinal tissue and urine of diabetic retinopathy patients analyzed using mass spectrometry,False,True
PXD033889,MaxQuant (Other),Not Checked,2022-05-13,Proteomic profiling of KIT-containing EVs secreted by neoplastic human mast cells (SUB1),False,False
PXD033627,High Priority (Blood),False,2022-05-04,effect of chinese madicine on plasma exosomal proteins in Primary Sjogren's syndrome,True,False
PXD033545,MaxQuant (Other),Not Checked,2022-04-28,Naringenin Suppresses BEAS-2B-derived Exosomal Cargoes Disorder Caused by Cigarette Smoke Extract thereby Inhibiting M1 Macrophage Polarization,False,False
PXD033124,Cell Line,Not Checked,2022-04-08,Proteomics of ectopic endometrial cell-derived exosomes in endometriosis,False,True
PXD032815,Mixed/Unsure,False,2022-03-25,"Using proteomics based on mass spectrometry, to elucidate the mechanism by which aminopeptidase N levels in circulating plasma exosomes regulate lung epithelial cell necrosis in patients with septic induced acute lung injury and mice",True,True
PXD032793,Mixed/Unsure,False,2022-03-24,"Using proteomics based on mass spectrometry, to elucidate the mechanism by which aminopeptidase N levels in circulating plasma exosomes regulate lung epithelial cell necrosis in patients with septic induced acute lung injury and mice",True,True
PXD032767,High Priority (Blood),False,2022-03-23,Characterization of plasma circulating small extracellular vesicles in patients with metastatic solid tumors and newly diagnosed brain metastasis,True,False
PXD031611,MaxQuant (Other),Not Checked,2022-02-11,Depletion of EXOSC2 protects against clinical COVID-19 and impedes SARS-CoV-2 replication,False,False
PXD031404,MaxQuant (Other),Not Checked,2022-02-03,Exosomal OX40L elicits positive T cell co-stimulation and promotes anti-tumor immunity through engagement of cytotoxic T lymphocytes,False,False
PXD031071,Cell Line,Not Checked,2022-01-19,Parallelized multidimensional analytic framework applied to mammalian cells uncovers novel regulatory principles in EMT,False,True
PXD030955,Mixed/Unsure,True,2022-01-14,Characteristics of extracellular vesicles secreted by senescent human vascular smooth muscle cells and its influence on immune cells.,True,True
PXD030883,Mixed/Unsure,True,2022-01-11,Protein composition of circulating exosomes depend on tuberculosis disease state,True,True
PXD030696,Cell Line,Not Checked,2022-01-04,β-catenin-controlled tubular cell-derived exosomes play a key role in fibroblast activation via the OPN-CD44 axis,False,True
PXD030077,MaxQuant (Other),Not Checked,2021-11-30,A comparative proteomics analysis identified differentially expressed proteins in pancreatic cancer–associated stellate cell small extracellular vesicles,False,False
PXD029007,Mixed/Unsure,False,2021-10-08,Plasma-derived Exosome-Like Vesicles (ELVs) of COVID-19 patients expose SARS-CoV-2-Spike-derived fragments and contribute to the adaptive immune response,True,True
PXD028944,High Priority (Blood),True,2021-10-05,Circulating Microvesicles and Exosomes in Small Cell Lung Cancer by Quantitative Proteomics,True,False
PXD028885,High Priority (Blood),True,2021-10-01,Circulating Microvesicles and Exosomes in Small Cell Lung Cancer by Quantitative Proteomics,True,False
PXD028779,Mixed/Unsure,False,2021-09-27,Quantitative proteomic analysis of plasma exosomes to identify the candidate biomarker of Imatinib Resistance in Chronic Myeloid Leukemia patients,True,True
PXD028172,Mixed/Unsure,False,2021-08-27,Proteomics analysis of plasma-derived exosomes extracted by thrombin pre-treated ExoQuick isolation,True,True
PXD027284,Mixed/Unsure,True,2021-07-14,NK-cell derived extracellular vesicles LC-MS/MS,True,True
PXD027221,Cell Line,Not Checked,2021-07-12,Treatment of human K562 chronic myelogenous leukemia cells with NK3.3-derived extracellular vesicles,False,True
PXD027197,Cell Line,Not Checked,2021-07-09,Comparative proteomic profiling of secreted extracellular vesicles from breast fibroadenoma and malignant lesion patients: a pilot study,False,True
